	TFm_0002.HK_neg_good9_mult_28	TFm_0002.HK_neg_good9_mult_28_per	TFm_0002.HK_neg_good9_mult_64	TFm_0002.HK_neg_good9_mult_64_per	TFm_0002.HK_neg_good9_mult_128	TFm_0002.HK_neg_good9_mult_128_per	TFm_0002.HK_neg_good9_mult_conv2	TFm_0002.HK_neg_good9_mult_conv2_per	TFm_0002.HK_neg_good9_mult_conv	TFm_0002.HK_neg_good9_mult_conv_per	TFm_0002.HK_neg_good9__simp_cordo	TFm_0002.HK_neg_good9__simp_cordo_per	TFm_0002.HK_neg_good9_mult_linear	TFm_0002.HK_neg_good9_mult_linear_per	TFm_0002.HK_neg_good9_mult_dense2	TFm_0002.HK_neg_good9_mult_dense2_per	TFm_0002.HK_neg_good9_mult_lstm	TFm_0002.HK_neg_good9_mult_lstm_per	TFm_0002.HK_neg_good9__mult_gru	TFm_0002.HK_neg_good9__mult_gru_per
acc_per	70.09	-1.0	80.29	-1.0	86.89	-1.0	70.40	-1.0	77.61	-1.0	67.10	-1.0	67.79	-1.0	75.23	-1.0	80.14	-1.0	79.14	-1.0
loss	0.56	-1.0	0.44	-1.0	0.32	-1.0	0.66	-1.0	0.46	-1.0	0.58	-1.0	0.56	-1.0	0.49	-1.0	0.42	-1.0	0.45	-1.0
epochs	13	-1.0	12	-1.0	14	-1.0	17	-1.0	10	-1.0	12	-1.0	13	-1.0	11	-1.0	9	-1.0	10	-1.0
df_test_%	20.6	-1.0	27.6	-1.0	21.0	-1.0	26.0	-1.0	20.0	-1.0	17.5	-1.0	18.2	-1.0	6.3	-1.0	22.5	-1.0	23.7	-1.0
positives	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0
count	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0	238.0	-1.0
mean	0.5908	-1.0	0.5181	-1.0	0.5325	-1.0	0.6929	-1.0	0.703	-1.0	0.5651	-1.0	0.7418	-1.0	0.6847	-1.0	0.5653	-1.0	0.6196	-1.0
std	0.1347	-1.0	0.1691	-1.0	0.2651	-1.0	0.1554	-1.0	0.1343	-1.0	0.1625	-1.0	0.2606	-1.0	0.2695	-1.0	0.181	-1.0	0.1812	-1.0
min	0.2258	-1.0	0.0344	-1.0	0.0164	-1.0	0.0791	-1.0	0.273	-1.0	0.2989	-1.0	0.0023	-1.0	0.0001	-1.0	0.1015	-1.0	0.2269	-1.0
25%	0.4972	8.43	0.388	8.43	0.3014	8.99	0.5932	7.87	0.6245	7.87	0.4417	7.87	0.7183	8.43	0.6178	8.43	0.4386	7.87	0.4672	9.55
50%	0.591	10.92	0.5141	10.92	0.5405	12.61	0.7129	11.76	0.7267	10.92	0.5532	10.92	0.8233	10.92	0.7389	11.86	0.5624	10.08	0.6154	11.76
60%	0.6449	13.68	0.5834	10.53	0.6297	14.74	0.7611	13.68	0.7648	13.68	0.5947	11.58	0.8649	10.53	0.7965	12.63	0.6263	12.63	0.7134	13.68
70%	0.6887	12.5	0.6317	13.89	0.7287	15.28	0.8063	15.28	0.7934	14.08	0.6904	13.89	0.9049	12.5	0.8483	13.89	0.705	13.89	0.7816	16.67
75%	0.7002	15.0	0.6644	16.67	0.7638	15.0	0.8236	15.0	0.8079	15.0	0.7236	15.0	0.923	13.33	0.8711	13.33	0.7226	16.67	0.7948	13.33
80%	0.7181	16.67	0.6861	18.75	0.8177	14.89	0.835	14.58	0.8245	16.67	0.7519	12.5	0.9306	14.58	0.8901	14.58	0.7531	16.67	0.8146	14.58
85%	0.7348	13.89	0.7094	25.0	0.8419	19.44	0.8482	16.67	0.8351	19.44	0.7723	16.67	0.9458	19.44	0.9241	11.11	0.7762	19.44	0.8262	16.67
86%	0.7382	14.71	0.7136	23.53	0.8504	20.59	0.8532	17.65	0.8375	20.59	0.7755	17.65	0.9471	17.65	0.9334	11.76	0.7821	17.65	0.8312	18.18
87%	0.7411	16.13	0.7211	22.58	0.8532	22.58	0.8557	19.35	0.8396	19.35	0.7781	16.13	0.9484	19.35	0.9456	9.68	0.7843	19.35	0.8397	19.35
88%	0.7582	17.24	0.7255	24.14	0.856	24.14	0.8602	20.69	0.8445	20.69	0.7792	17.24	0.9514	17.24	0.9517	10.34	0.7934	20.69	0.8432	20.69
89%	0.7592	18.52	0.7338	22.22	0.8734	22.22	0.8665	22.22	0.8465	22.22	0.7806	19.23	0.9529	19.23	0.9549	7.41	0.7977	22.22	0.848	22.22
90%	0.7696	20.83	0.7374	25.0	0.8791	16.67	0.8728	25.0	0.8539	20.83	0.7829	16.67	0.9556	20.83	0.9571	4.17	0.8052	25.0	0.8496	20.83
91%	0.7722	22.73	0.7429	27.27	0.8855	18.18	0.876	27.27	0.8577	22.73	0.7874	18.18	0.9569	18.18	0.9628	4.55	0.8124	22.73	0.8519	22.73
92%	0.7828	21.05	0.7468	31.58	0.89	21.05	0.8784	31.58	0.859	15.79	0.7932	15.79	0.9575	15.79	0.9651	5.26	0.8153	21.05	0.8546	26.32
93%	0.7871	23.53	0.7527	35.29	0.9002	23.53	0.8822	29.41	0.8651	17.65	0.8013	17.65	0.9586	17.65	0.9661	5.88	0.8213	23.53	0.8585	29.41
94%	0.794	26.67	0.7562	33.33	0.9188	26.67	0.8866	26.67	0.871	20.0	0.8027	20.0	0.961	13.33	0.9724	6.67	0.824	26.67	0.8644	26.67
95%	0.7989	33.33	0.7644	33.33	0.9282	33.33	0.8893	25.0	0.88	25.0	0.8074	25.0	0.9624	16.67	0.9778	0.0	0.8286	25.0	0.8675	23.08
96%	0.805	40.0	0.7664	20.0	0.9329	40.0	0.8947	30.0	0.8849	30.0	0.8159	30.0	0.965	20.0	0.9812	0.0	0.8331	20.0	0.8686	30.0
97%	0.8083	25.0	0.7844	25.0	0.9407	37.5	0.9004	25.0	0.8901	37.5	0.8187	37.5	0.9684	25.0	0.9825	0.0	0.8404	25.0	0.8694	37.5
98%	0.8267	40.0	0.8011	20.0	0.943	40.0	0.9037	20.0	0.8982	20.0	0.8323	40.0	0.9751	40.0	0.9874	0.0	0.8466	40.0	0.8777	20.0
max	0.8791	-1.0	0.8138	-1.0	0.9817	-1.0	0.9444	-1.0	0.915	-1.0	0.8521	-1.0	0.9865	-1.0	0.9952	-1.0	0.8967	-1.0	0.8958	-1.0
