	TFm_0002.HK_pos_reg4_mult_28	TFm_0002.HK_pos_reg4_mult_28_per	TFm_0002.HK_pos_reg4_mult_64	TFm_0002.HK_pos_reg4_mult_64_per	TFm_0002.HK_pos_reg4_mult_128	TFm_0002.HK_pos_reg4_mult_128_per	TFm_0002.HK_pos_reg4_mult_conv2	TFm_0002.HK_pos_reg4_mult_conv2_per	TFm_0002.HK_pos_reg4_mult_conv	TFm_0002.HK_pos_reg4_mult_conv_per	TFm_0002.HK_pos_reg4__simp_cordo	TFm_0002.HK_pos_reg4__simp_cordo_per	TFm_0002.HK_pos_reg4_mult_linear	TFm_0002.HK_pos_reg4_mult_linear_per	TFm_0002.HK_pos_reg4_mult_dense2	TFm_0002.HK_pos_reg4_mult_dense2_per	TFm_0002.HK_pos_reg4_mult_lstm	TFm_0002.HK_pos_reg4_mult_lstm_per	TFm_0002.HK_pos_reg4__mult_gru	TFm_0002.HK_pos_reg4__mult_gru_per
acc_per	92.93	-1.0	92.31	-1.0	95.89	-1.0	79.89	-1.0	97.05	-1.0	76.55	-1.0	78.73	-1.0	89.91	-1.0	94.95	-1.0	91.93	-1.0
loss	0.20	-1.0	0.21	-1.0	0.13	-1.0	0.49	-1.0	0.11	-1.0	0.48	-1.0	0.45	-1.0	0.25	-1.0	0.14	-1.0	0.20	-1.0
epochs	22	-1.0	11	-1.0	9	-1.0	9	-1.0	9	-1.0	8	-1.0	21	-1.0	9	-1.0	13	-1.0	9	-1.0
df_test_%	12.1	-1.0	12.8	-1.0	6.0	-1.0	0.0	-1.0	6.6	-1.0	5.3	-1.0	9.6	-1.0	9.4	-1.0	12.1	-1.0	9.5	-1.0
positives	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0
count	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0
mean	0.3363	-1.0	0.3622	-1.0	0.4099	-1.0	0.9934	-1.0	0.4669	-1.0	0.4458	-1.0	0.4992	-1.0	0.5586	-1.0	0.3786	-1.0	0.4913	-1.0
std	0.2522	-1.0	0.2366	-1.0	0.1599	-1.0	0.0031	-1.0	0.2011	-1.0	0.1326	-1.0	0.2313	-1.0	0.0786	-1.0	0.3815	-1.0	0.1333	-1.0
min	0.0007	-1.0	0.0117	-1.0	0.054	-1.0	0.9839	-1.0	0.0748	-1.0	0.3643	-1.0	0.0133	-1.0	0.3645	-1.0	0.0	-1.0	0.226	-1.0
25%	0.1028	6.47	0.1545	6.47	0.2788	5.29	0.9913	4.68	0.3042	5.29	0.3707	5.88	0.3181	6.47	0.5077	6.47	0.0017	6.47	0.3852	6.47
50%	0.3299	7.96	0.3049	6.19	0.4149	6.14	0.9941	4.42	0.4471	7.02	0.387	6.19	0.4848	8.85	0.5538	7.89	0.2805	9.65	0.5012	7.96
60%	0.4003	8.79	0.4238	7.69	0.4666	7.69	0.9948	3.26	0.5252	5.49	0.4004	5.49	0.5764	8.79	0.5718	8.79	0.5498	10.99	0.531	8.79
70%	0.4595	11.76	0.5127	7.35	0.4975	8.82	0.9955	1.49	0.5776	4.41	0.4182	4.41	0.6586	10.29	0.5923	10.29	0.6899	13.24	0.5692	8.82
75%	0.5347	14.04	0.551	8.77	0.5123	10.71	0.9959	1.79	0.6235	5.26	0.4267	5.26	0.6893	8.77	0.6061	12.28	0.7525	14.04	0.5826	10.53
80%	0.5794	17.39	0.6026	10.87	0.5443	6.52	0.9961	2.27	0.6712	4.35	0.4761	4.35	0.7344	8.7	0.6103	6.52	0.8041	17.39	0.5949	10.87
85%	0.6262	14.71	0.6451	14.71	0.5759	5.88	0.9967	3.03	0.7118	5.88	0.5431	5.88	0.7744	8.82	0.631	5.88	0.8724	14.71	0.6164	8.82
86%	0.6448	15.62	0.6543	15.62	0.5827	6.25	0.9968	3.12	0.7153	6.25	0.5824	6.25	0.7811	9.38	0.6365	6.25	0.8873	12.5	0.62	9.38
87%	0.6509	13.33	0.6571	16.67	0.5856	6.67	0.9969	3.23	0.7247	6.67	0.6264	6.67	0.7908	10.0	0.6421	6.67	0.9152	13.33	0.6217	10.34
88%	0.6662	14.29	0.6639	17.86	0.6001	7.14	0.997	0.0	0.7314	7.14	0.6376	7.14	0.8019	10.71	0.6435	7.14	0.9233	14.29	0.6224	7.14
89%	0.6755	12.0	0.67	16.0	0.6201	8.0	0.9971	0.0	0.7546	8.0	0.6652	4.0	0.8047	12.0	0.6447	8.0	0.9392	12.0	0.6244	8.0
90%	0.7103	13.04	0.6886	17.39	0.6231	4.35	0.9972	0.0	0.7617	8.7	0.6799	4.35	0.8111	8.7	0.648	8.7	0.9442	13.04	0.6273	9.09
91%	0.7252	9.52	0.7052	14.29	0.6248	4.76	0.9973	0.0	0.7632	4.55	0.6983	4.76	0.8151	9.52	0.6494	9.52	0.9531	9.52	0.6341	9.52
92%	0.7277	11.11	0.7324	5.26	0.6294	5.26	0.9973	0.0	0.7674	5.26	0.7312	5.26	0.8274	10.53	0.6541	10.53	0.9557	11.11	0.6392	10.53
93%	0.7362	12.5	0.7526	6.25	0.639	6.67	0.9974	0.0	0.7765	6.25	0.7543	6.25	0.8393	6.25	0.6567	12.5	0.9623	12.5	0.6418	12.5
94%	0.7714	7.14	0.7692	7.14	0.6446	7.14	0.9975	0.0	0.7807	0.0	0.7747	7.14	0.8582	7.14	0.6596	14.29	0.9644	14.29	0.6537	14.29
95%	0.8023	8.33	0.7739	0.0	0.6574	8.33	0.9976	0.0	0.7921	0.0	0.809	8.33	0.861	8.33	0.6636	16.67	0.9692	16.67	0.6736	16.67
96%	0.8141	10.0	0.7868	0.0	0.6632	10.0	0.9976	0.0	0.8038	0.0	0.8283	10.0	0.8661	10.0	0.6689	20.0	0.9749	22.22	0.7212	20.0
97%	0.8338	14.29	0.8075	0.0	0.7145	14.29	0.9978	0.0	0.8177	0.0	0.8385	14.29	0.8691	14.29	0.6712	28.57	0.9834	28.57	0.7365	14.29
98%	0.8529	20.0	0.8202	0.0	0.7499	0.0	0.9978	0.0	0.8531	0.0	0.8445	20.0	0.8819	20.0	0.6734	40.0	0.9922	40.0	0.8343	20.0
max	0.9395	-1.0	0.8944	-1.0	0.9251	-1.0	0.9983	-1.0	0.8843	-1.0	0.8586	-1.0	0.9561	-1.0	0.9769	-1.0	0.9997	-1.0	0.914	-1.0
