	TFm_0002.HK_pos_vgood16_mult_28	TFm_0002.HK_pos_vgood16_mult_28_per	TFm_0002.HK_pos_vgood16_mult_64	TFm_0002.HK_pos_vgood16_mult_64_per	TFm_0002.HK_pos_vgood16_mult_128	TFm_0002.HK_pos_vgood16_mult_128_per	TFm_0002.HK_pos_vgood16_mult_conv2	TFm_0002.HK_pos_vgood16_mult_conv2_per	TFm_0002.HK_pos_vgood16_mult_conv	TFm_0002.HK_pos_vgood16_mult_conv_per	TFm_0002.HK_pos_vgood16__simp_cordo	TFm_0002.HK_pos_vgood16__simp_cordo_per	TFm_0002.HK_pos_vgood16_mult_linear	TFm_0002.HK_pos_vgood16_mult_linear_per	TFm_0002.HK_pos_vgood16_mult_dense2	TFm_0002.HK_pos_vgood16_mult_dense2_per	TFm_0002.HK_pos_vgood16_mult_lstm	TFm_0002.HK_pos_vgood16_mult_lstm_per	TFm_0002.HK_pos_vgood16__mult_gru	TFm_0002.HK_pos_vgood16__mult_gru_per
acc_per	76.45	-1.0	75.65	-1.0	77.62	-1.0	73.47	-1.0	77.03	-1.0	75.29	-1.0	73.18	-1.0	75.22	-1.0	80.67	-1.0	78.78	-1.0
loss	0.55	-1.0	0.54	-1.0	0.49	-1.0	0.53	-1.0	0.51	-1.0	0.54	-1.0	0.58	-1.0	0.50	-1.0	0.43	-1.0	0.46	-1.0
epochs	17	-1.0	11	-1.0	10	-1.0	8	-1.0	13	-1.0	26	-1.0	25	-1.0	17	-1.0	25	-1.0	21	-1.0
df_test_%	30.9	-1.0	33.8	-1.0	34.3	-1.0	4.3	-1.0	23.9	-1.0	29.2	-1.0	33.8	-1.0	5.5	-1.0	8.6	-1.0	26.3	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0	248.0	-1.0
mean	0.4859	-1.0	0.4902	-1.0	0.4452	-1.0	0.6469	-1.0	0.5599	-1.0	0.3992	-1.0	0.5484	-1.0	0.5584	-1.0	0.5603	-1.0	0.4136	-1.0
std	0.1538	-1.0	0.1585	-1.0	0.162	-1.0	0.0865	-1.0	0.1303	-1.0	0.2842	-1.0	0.1672	-1.0	0.2397	-1.0	0.2733	-1.0	0.2791	-1.0
min	0.2506	-1.0	0.2141	-1.0	0.1846	-1.0	0.4864	-1.0	0.3192	-1.0	0.167	-1.0	0.2249	-1.0	0.1903	-1.0	0.1031	-1.0	0.0523	-1.0
25%	0.3861	6.45	0.3615	6.45	0.3138	6.45	0.5704	6.45	0.4726	6.45	0.1678	6.42	0.4399	6.45	0.3585	6.45	0.285	5.91	0.1129	5.91
50%	0.43	8.87	0.4614	8.87	0.4186	8.87	0.6658	9.68	0.549	8.87	0.1944	8.87	0.5126	8.94	0.5083	8.87	0.5709	7.26	0.4121	8.06
60%	0.5096	11.11	0.5082	10.1	0.4801	10.1	0.6852	11.11	0.6297	11.11	0.3131	10.1	0.573	10.1	0.6044	10.1	0.6702	9.0	0.5849	9.09
70%	0.5706	13.33	0.6005	13.51	0.5573	13.33	0.7177	12.0	0.6711	13.33	0.6878	13.33	0.6683	13.33	0.7601	12.0	0.7746	8.0	0.6643	10.67
75%	0.5931	16.13	0.6363	16.13	0.5912	16.13	0.7302	9.68	0.6892	16.13	0.7537	16.13	0.6881	16.13	0.7848	11.11	0.8488	9.68	0.6764	11.29
80%	0.637	20.0	0.6527	20.0	0.6098	20.0	0.7411	8.0	0.6972	20.0	0.7885	18.0	0.7079	20.0	0.8295	12.0	0.8731	4.0	0.7055	14.0
85%	0.6525	26.32	0.6719	23.68	0.6199	26.32	0.748	5.41	0.7047	26.32	0.8067	23.68	0.7342	26.32	0.8668	7.89	0.8966	5.41	0.7289	18.42
86%	0.6549	25.71	0.6752	25.71	0.6235	25.71	0.7494	2.86	0.7063	25.71	0.8088	22.86	0.7369	25.71	0.8709	8.57	0.9026	5.71	0.7304	20.0
87%	0.6621	27.27	0.6799	27.27	0.6269	27.27	0.7511	3.03	0.7083	24.24	0.8139	24.24	0.7425	27.27	0.8734	9.38	0.9043	6.06	0.7313	21.21
88%	0.6835	30.0	0.6825	30.0	0.6318	30.0	0.7516	3.33	0.7096	23.33	0.8184	23.33	0.7477	30.0	0.8743	10.0	0.9067	6.67	0.7383	23.33
89%	0.7091	28.57	0.6855	32.14	0.6414	32.14	0.7521	3.7	0.7135	21.43	0.8204	25.0	0.7588	32.14	0.8768	10.71	0.9073	7.14	0.7409	22.22
90%	0.7179	28.0	0.6901	32.0	0.6501	36.0	0.7531	4.0	0.7158	24.0	0.8214	28.0	0.775	32.0	0.8819	8.0	0.9088	8.0	0.744	23.08
91%	0.7332	30.43	0.694	34.78	0.6617	39.13	0.7551	4.35	0.7198	21.74	0.8243	30.43	0.7881	34.78	0.886	4.35	0.9113	8.7	0.746	26.09
92%	0.7435	35.0	0.7162	35.0	0.6696	35.0	0.7557	5.0	0.7265	25.0	0.8263	35.0	0.7945	35.0	0.8936	0.0	0.9124	10.0	0.747	30.0
93%	0.7604	33.33	0.7217	38.89	0.676	33.33	0.7575	5.56	0.7285	27.78	0.828	33.33	0.8015	38.89	0.9027	0.0	0.9148	11.11	0.7661	33.33
94%	0.7737	33.33	0.7377	40.0	0.6977	40.0	0.7579	6.25	0.731	33.33	0.8293	33.33	0.8109	33.33	0.9063	0.0	0.9173	12.5	0.8022	33.33
95%	0.8	38.46	0.747	46.15	0.7278	38.46	0.7586	0.0	0.7352	38.46	0.8305	38.46	0.8168	38.46	0.9123	0.0	0.9188	15.38	0.8295	38.46
96%	0.8062	50.0	0.7496	60.0	0.7366	50.0	0.7589	0.0	0.7402	50.0	0.8344	50.0	0.8237	40.0	0.9272	0.0	0.9214	20.0	0.8325	50.0
97%	0.8175	62.5	0.7608	75.0	0.7438	62.5	0.7597	0.0	0.7421	62.5	0.8388	50.0	0.8357	37.5	0.9352	0.0	0.9275	25.0	0.8449	50.0
98%	0.8238	60.0	0.7765	60.0	0.7636	60.0	0.7605	0.0	0.7482	80.0	0.846	60.0	0.8467	60.0	0.9419	0.0	0.9316	40.0	0.8587	60.0
max	0.8277	-1.0	0.8691	-1.0	0.8404	-1.0	0.7637	-1.0	0.7756	-1.0	0.8581	-1.0	0.9486	-1.0	0.9879	-1.0	0.9407	-1.0	0.8839	-1.0
