	TFm_1088.HK_neg_vgood16_mult_28	TFm_1088.HK_neg_vgood16_mult_28_per	TFm_1088.HK_neg_vgood16_mult_64	TFm_1088.HK_neg_vgood16_mult_64_per	TFm_1088.HK_neg_vgood16_mult_128	TFm_1088.HK_neg_vgood16_mult_128_per	TFm_1088.HK_neg_vgood16_mult_conv2	TFm_1088.HK_neg_vgood16_mult_conv2_per	TFm_1088.HK_neg_vgood16_mult_conv	TFm_1088.HK_neg_vgood16_mult_conv_per	TFm_1088.HK_neg_vgood16__simp_cordo	TFm_1088.HK_neg_vgood16__simp_cordo_per	TFm_1088.HK_neg_vgood16_mult_linear	TFm_1088.HK_neg_vgood16_mult_linear_per	TFm_1088.HK_neg_vgood16_mult_dense2	TFm_1088.HK_neg_vgood16_mult_dense2_per	TFm_1088.HK_neg_vgood16_mult_lstm	TFm_1088.HK_neg_vgood16_mult_lstm_per	TFm_1088.HK_neg_vgood16__mult_gru	TFm_1088.HK_neg_vgood16__mult_gru_per
acc_per	74.38	-1.0	73.31	-1.0	78.15	-1.0	69.54	-1.0	73.85	-1.0	73.54	-1.0	70.92	-1.0	75.38	-1.0	75.08	-1.0	74.85	-1.0
loss	0.52	-1.0	0.50	-1.0	0.44	-1.0	0.54	-1.0	0.49	-1.0	0.51	-1.0	0.55	-1.0	0.47	-1.0	0.47	-1.0	0.50	-1.0
epochs	9	-1.0	9	-1.0	16	-1.0	8	-1.0	16	-1.0	21	-1.0	8	-1.0	17	-1.0	29	-1.0	9	-1.0
df_test_%	9.3	-1.0	4.7	-1.0	12.8	-1.0	7.3	-1.0	9.7	-1.0	11.9	-1.0	4.6	-1.0	6.5	-1.0	15.5	-1.0	9.2	-1.0
positives	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0
count	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0
mean	0.6132	-1.0	0.5698	-1.0	0.5032	-1.0	0.615	-1.0	0.4923	-1.0	0.4337	-1.0	0.7009	-1.0	0.4955	-1.0	0.5112	-1.0	0.4813	-1.0
std	0.097	-1.0	0.209	-1.0	0.4063	-1.0	0.189	-1.0	0.3525	-1.0	0.2971	-1.0	0.0659	-1.0	0.3869	-1.0	0.416	-1.0	0.2995	-1.0
min	0.3291	-1.0	0.1638	-1.0	0.0	-1.0	0.2796	-1.0	0.0106	-1.0	0.0627	-1.0	0.5703	-1.0	0.0	-1.0	0.0	-1.0	0.0259	-1.0
25%	0.6028	4.02	0.364	8.05	0.0019	8.19	0.4353	8.05	0.0485	8.05	0.0647	8.05	0.6315	7.47	0.0017	8.09	0.0	6.03	0.1277	8.05
50%	0.6563	5.17	0.6805	9.48	0.7452	11.21	0.6466	9.48	0.7105	10.34	0.6608	12.07	0.7223	9.48	0.737	10.34	0.8047	12.07	0.6261	12.07
60%	0.6647	5.38	0.7164	6.45	0.8076	11.83	0.7363	11.83	0.7494	11.83	0.6872	10.75	0.744	11.83	0.7688	9.68	0.8307	10.75	0.6856	10.75
70%	0.6741	7.14	0.7321	7.14	0.8528	10.14	0.7686	11.43	0.7773	11.43	0.6936	4.29	0.7515	8.57	0.8144	11.43	0.8545	12.86	0.7218	5.71
75%	0.6771	8.62	0.7411	5.17	0.8694	10.34	0.7831	13.79	0.8025	10.34	0.6996	5.17	0.7543	3.45	0.8272	10.34	0.8706	13.79	0.742	5.17
80%	0.6801	10.64	0.7515	2.13	0.8911	8.51	0.8054	12.77	0.8145	8.51	0.703	6.52	0.7562	2.13	0.836	12.77	0.8769	12.77	0.7586	4.26
85%	0.6838	5.71	0.7604	2.86	0.9079	11.43	0.824	5.71	0.8339	8.57	0.7075	8.57	0.7621	2.86	0.8486	8.57	0.888	11.43	0.7661	5.71
86%	0.6841	6.25	0.7624	3.03	0.9103	8.82	0.8278	6.06	0.8375	9.09	0.7087	9.09	0.7644	3.03	0.8509	6.06	0.8892	12.12	0.7673	6.06
87%	0.6845	6.25	0.764	3.23	0.9117	10.0	0.8308	6.67	0.8429	9.68	0.7093	9.68	0.7661	3.23	0.8527	6.45	0.891	13.33	0.7683	6.45
88%	0.6856	7.14	0.7651	3.45	0.9122	10.71	0.8336	7.14	0.8453	10.71	0.7095	10.71	0.7682	3.57	0.8534	7.14	0.8923	14.29	0.7747	7.14
89%	0.6868	7.69	0.7685	3.85	0.9139	11.54	0.8345	7.69	0.8471	7.69	0.7111	11.54	0.7694	3.85	0.8551	7.69	0.8928	15.38	0.7772	7.69
90%	0.6873	8.33	0.7713	4.35	0.916	12.5	0.8355	8.33	0.8487	8.33	0.7137	12.5	0.7737	4.17	0.8592	8.33	0.8941	16.67	0.7805	8.33
91%	0.6881	9.52	0.7735	4.76	0.9172	14.29	0.8389	9.52	0.8536	9.52	0.7157	14.29	0.775	4.76	0.8629	4.76	0.8995	19.05	0.7926	9.52
92%	0.6902	10.53	0.7759	5.26	0.9256	15.79	0.8422	5.26	0.8582	10.0	0.7162	10.53	0.7763	5.26	0.8659	5.26	0.9042	15.79	0.8009	10.53
93%	0.6928	12.5	0.7767	6.25	0.9419	11.76	0.8437	5.88	0.8606	11.76	0.7166	11.76	0.778	5.88	0.871	5.88	0.9061	11.76	0.8028	11.76
94%	0.6952	14.29	0.7851	7.14	0.9453	7.14	0.8472	7.14	0.8627	14.29	0.7175	7.14	0.7836	7.14	0.8856	7.14	0.9074	14.29	0.8071	14.29
95%	0.6995	16.67	0.7915	8.33	0.9482	8.33	0.8617	8.33	0.8685	16.67	0.7209	8.33	0.7853	8.33	0.8879	8.33	0.9081	16.67	0.8107	16.67
96%	0.7003	10.0	0.7989	10.0	0.9501	10.0	0.8761	10.0	0.8873	10.0	0.7244	10.0	0.7878	10.0	0.8949	10.0	0.9088	11.11	0.8317	10.0
97%	0.7013	0.0	0.8093	14.29	0.9509	14.29	0.8799	12.5	0.8922	14.29	0.7261	12.5	0.7905	14.29	0.9	14.29	0.9097	14.29	0.8369	0.0
98%	0.7051	0.0	0.8105	20.0	0.9523	20.0	0.8804	20.0	0.8944	20.0	0.7263	16.67	0.7912	20.0	0.9089	20.0	0.9109	20.0	0.8433	0.0
max	0.7131	-1.0	0.8134	-1.0	0.9581	-1.0	0.8833	-1.0	0.9104	-1.0	0.7281	-1.0	0.7953	-1.0	0.9464	-1.0	0.9315	-1.0	0.8477	-1.0
