	TFm_PYPL_neg_good9_mult_28	TFm_PYPL_neg_good9_mult_28_per	TFm_PYPL_neg_good9_mult_64	TFm_PYPL_neg_good9_mult_64_per	TFm_PYPL_neg_good9_mult_128	TFm_PYPL_neg_good9_mult_128_per	TFm_PYPL_neg_good9_mult_conv2	TFm_PYPL_neg_good9_mult_conv2_per	TFm_PYPL_neg_good9_mult_conv	TFm_PYPL_neg_good9_mult_conv_per	TFm_PYPL_neg_good9__simp_cordo	TFm_PYPL_neg_good9__simp_cordo_per	TFm_PYPL_neg_good9_mult_linear	TFm_PYPL_neg_good9_mult_linear_per	TFm_PYPL_neg_good9_mult_dense2	TFm_PYPL_neg_good9_mult_dense2_per	TFm_PYPL_neg_good9_mult_lstm	TFm_PYPL_neg_good9_mult_lstm_per	TFm_PYPL_neg_good9__mult_gru	TFm_PYPL_neg_good9__mult_gru_per
acc_per	81.50	-1.0	87.67	-1.0	92.84	-1.0	91.84	-1.0	89.12	-1.0	79.05	-1.0	75.73	-1.0	88.66	-1.0	91.45	-1.0	92.37	-1.0
loss	0.41	-1.0	0.29	-1.0	0.18	-1.0	0.21	-1.0	0.27	-1.0	0.46	-1.0	0.50	-1.0	0.26	-1.0	0.22	-1.0	0.18	-1.0
epochs	15	-1.0	13	-1.0	10	-1.0	13	-1.0	10	-1.0	18	-1.0	14	-1.0	9	-1.0	8	-1.0	15	-1.0
df_test_%	15.1	-1.0	16.1	-1.0	17.2	-1.0	20.3	-1.0	16.1	-1.0	13.7	-1.0	13.8	-1.0	24.1	-1.0	16.1	-1.0	29.2	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0
mean	0.429	-1.0	0.4848	-1.0	0.484	-1.0	0.5372	-1.0	0.6433	-1.0	0.4415	-1.0	0.6527	-1.0	0.5778	-1.0	0.5048	-1.0	0.4287	-1.0
std	0.2082	-1.0	0.2281	-1.0	0.2329	-1.0	0.2624	-1.0	0.1497	-1.0	0.2796	-1.0	0.2221	-1.0	0.1623	-1.0	0.151	-1.0	0.3726	-1.0
min	0.0572	-1.0	0.0536	-1.0	0.0869	-1.0	0.0476	-1.0	0.3052	-1.0	0.1658	-1.0	0.0013	-1.0	0.0279	-1.0	0.2585	-1.0	0.0032	-1.0
25%	0.2534	6.03	0.287	6.03	0.305	6.03	0.322	6.03	0.5301	6.03	0.1964	6.03	0.4418	6.03	0.4618	6.03	0.3781	6.0	0.0471	6.06
50%	0.3901	7.52	0.463	7.52	0.45	6.02	0.5283	7.52	0.6381	8.27	0.2898	7.52	0.6772	8.27	0.5806	9.02	0.4828	9.02	0.3573	9.02
60%	0.4572	7.48	0.5418	9.43	0.5207	7.48	0.6501	8.41	0.6962	9.35	0.4364	7.55	0.7397	9.35	0.6196	7.48	0.5291	7.55	0.5965	9.43
70%	0.5465	8.75	0.6438	10.0	0.6134	10.0	0.7511	10.0	0.7359	10.0	0.607	8.75	0.8151	8.75	0.6832	7.5	0.5755	8.75	0.7449	10.0
75%	0.5751	10.45	0.6884	10.45	0.6564	10.45	0.789	10.45	0.753	7.46	0.6831	8.96	0.8593	8.96	0.7024	9.09	0.5975	8.96	0.8177	11.94
80%	0.6276	9.43	0.7246	7.41	0.692	13.21	0.8185	12.96	0.7859	7.55	0.8001	11.11	0.8909	11.11	0.7099	11.11	0.616	9.26	0.86	15.09
85%	0.6682	10.0	0.7615	10.0	0.7738	17.5	0.8373	15.0	0.8056	10.0	0.8622	15.0	0.9106	10.0	0.7335	15.0	0.6235	12.5	0.9108	20.0
86%	0.6714	10.53	0.7678	10.53	0.7826	15.79	0.8448	15.79	0.8106	10.53	0.8692	15.79	0.9141	10.53	0.7415	15.79	0.6271	13.16	0.9202	21.05
87%	0.679	11.43	0.7856	11.43	0.796	14.29	0.8492	17.14	0.8183	11.43	0.8831	17.14	0.9164	11.43	0.7449	17.14	0.6399	11.43	0.9332	22.86
88%	0.7034	12.5	0.7876	12.5	0.8277	15.62	0.8552	18.75	0.8239	12.5	0.8926	15.62	0.919	12.5	0.7539	18.75	0.6573	12.5	0.9449	25.0
89%	0.7404	13.33	0.8014	13.33	0.8524	16.67	0.862	20.0	0.8317	13.33	0.8962	13.33	0.9234	13.33	0.7614	20.0	0.6884	13.33	0.9503	26.67
90%	0.7489	14.81	0.8089	14.81	0.8689	14.81	0.8662	18.52	0.8489	14.81	0.9057	11.11	0.9282	14.81	0.7783	22.22	0.714	14.81	0.952	25.93
91%	0.7561	16.67	0.8195	16.67	0.8839	16.67	0.8722	20.83	0.8625	16.67	0.9111	12.5	0.9302	12.5	0.7938	25.0	0.8017	16.67	0.9543	29.17
92%	0.7665	17.39	0.8238	18.18	0.8905	18.18	0.8795	22.73	0.8696	18.18	0.913	13.64	0.9319	13.64	0.8032	27.27	0.8047	18.18	0.9558	31.82
93%	0.783	15.79	0.8365	21.05	0.8946	21.05	0.8848	21.05	0.8814	21.05	0.9209	15.79	0.9341	15.79	0.8143	31.58	0.8117	21.05	0.959	36.84
94%	0.7956	12.5	0.8477	25.0	0.8971	25.0	0.8938	25.0	0.8896	25.0	0.9243	18.75	0.9386	20.0	0.8274	37.5	0.816	18.75	0.962	43.75
95%	0.8076	14.29	0.8499	28.57	0.8997	28.57	0.899	21.43	0.8937	28.57	0.9277	21.43	0.9419	21.43	0.8352	42.86	0.818	21.43	0.9655	50.0
96%	0.8188	18.18	0.8583	36.36	0.9092	36.36	0.9163	27.27	0.9005	36.36	0.9331	27.27	0.9477	18.18	0.8382	36.36	0.8266	27.27	0.9731	63.64
97%	0.8385	12.5	0.8738	37.5	0.914	25.0	0.9348	37.5	0.9066	50.0	0.9437	33.33	0.9532	25.0	0.8473	37.5	0.8387	37.5	0.9801	87.5
98%	0.8521	0.0	0.926	50.0	0.9281	33.33	0.9448	33.33	0.9138	66.67	0.9463	33.33	0.963	16.67	0.8895	33.33	0.8561	50.0	0.9893	83.33
max	0.9856	-1.0	0.9661	-1.0	0.9899	-1.0	0.9853	-1.0	0.9599	-1.0	0.9632	-1.0	0.9956	-1.0	0.9853	-1.0	0.9505	-1.0	0.9954	-1.0
