	TFm_PYPL_neg_reg4_mult_28	TFm_PYPL_neg_reg4_mult_28_per	TFm_PYPL_neg_reg4_mult_64	TFm_PYPL_neg_reg4_mult_64_per	TFm_PYPL_neg_reg4_mult_128	TFm_PYPL_neg_reg4_mult_128_per	TFm_PYPL_neg_reg4_mult_conv2	TFm_PYPL_neg_reg4_mult_conv2_per	TFm_PYPL_neg_reg4_mult_conv	TFm_PYPL_neg_reg4_mult_conv_per	TFm_PYPL_neg_reg4__simp_cordo	TFm_PYPL_neg_reg4__simp_cordo_per	TFm_PYPL_neg_reg4_mult_linear	TFm_PYPL_neg_reg4_mult_linear_per	TFm_PYPL_neg_reg4_mult_dense2	TFm_PYPL_neg_reg4_mult_dense2_per	TFm_PYPL_neg_reg4_mult_lstm	TFm_PYPL_neg_reg4_mult_lstm_per	TFm_PYPL_neg_reg4__mult_gru	TFm_PYPL_neg_reg4__mult_gru_per
acc_per	85.75	-1.0	94.97	-1.0	95.36	-1.0	86.27	-1.0	93.33	-1.0	86.27	-1.0	83.01	-1.0	88.24	-1.0	97.58	-1.0	94.71	-1.0
loss	0.32	-1.0	0.15	-1.0	0.12	-1.0	0.54	-1.0	0.18	-1.0	0.33	-1.0	0.39	-1.0	0.28	-1.0	0.06	-1.0	0.14	-1.0
epochs	20	-1.0	18	-1.0	12	-1.0	13	-1.0	9	-1.0	14	-1.0	10	-1.0	9	-1.0	13	-1.0	10	-1.0
df_test_%	16.1	-1.0	21.6	-1.0	15.2	-1.0	16.2	-1.0	22.5	-1.0	17.2	-1.0	21.2	-1.0	12.0	-1.0	24.1	-1.0	20.1	-1.0
positives	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0
count	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0
mean	0.3774	-1.0	0.4505	-1.0	0.3826	-1.0	0.6146	-1.0	0.5443	-1.0	0.3743	-1.0	0.6131	-1.0	0.7107	-1.0	0.701	-1.0	0.5096	-1.0
std	0.2775	-1.0	0.3111	-1.0	0.2589	-1.0	0.2912	-1.0	0.1591	-1.0	0.2844	-1.0	0.2177	-1.0	0.2194	-1.0	0.3176	-1.0	0.2929	-1.0
min	0.0273	-1.0	0.0019	-1.0	0.0129	-1.0	0.0464	-1.0	0.2165	-1.0	0.0899	-1.0	0.0262	-1.0	0.1229	-1.0	0.0028	-1.0	0.0688	-1.0
25%	0.1265	5.53	0.1593	5.03	0.1827	5.53	0.3375	5.53	0.4272	5.53	0.1315	5.53	0.4434	5.53	0.5854	5.53	0.5232	5.53	0.2332	5.53
50%	0.2853	7.52	0.4117	7.52	0.3032	6.77	0.655	8.27	0.508	7.52	0.2149	8.27	0.6258	8.27	0.7551	7.52	0.8542	7.52	0.4889	7.52
60%	0.4199	9.35	0.5662	8.41	0.3617	8.41	0.7764	9.43	0.5702	8.41	0.3595	10.28	0.6879	9.43	0.8046	8.49	0.8985	8.33	0.5922	9.43
70%	0.5595	11.25	0.692	11.25	0.4662	10.0	0.8739	10.0	0.6216	11.25	0.5191	12.5	0.7689	11.25	0.8691	10.0	0.9268	11.25	0.7317	11.25
75%	0.6426	13.43	0.7302	11.94	0.5537	11.94	0.8959	10.45	0.6436	13.43	0.6135	13.43	0.812	13.43	0.8976	8.96	0.9353	11.94	0.8052	11.94
80%	0.6864	12.96	0.7961	14.81	0.6434	15.09	0.9198	13.21	0.6687	15.09	0.7572	15.09	0.844	14.81	0.9245	9.26	0.9483	13.21	0.8427	13.21
85%	0.7364	10.0	0.8258	17.5	0.7458	15.0	0.943	9.76	0.7024	15.0	0.8052	15.0	0.8705	15.0	0.9402	7.5	0.9626	15.0	0.8984	12.5
86%	0.751	10.53	0.8321	18.42	0.7538	15.79	0.9494	10.53	0.7061	15.79	0.8106	15.79	0.8745	15.79	0.9411	8.11	0.9663	15.79	0.9045	13.16
87%	0.77	11.43	0.8388	17.14	0.7796	11.43	0.9548	11.43	0.7133	17.14	0.8181	14.29	0.8784	17.14	0.9434	8.57	0.9686	17.14	0.9084	14.29
88%	0.7911	12.5	0.8508	18.75	0.7985	12.5	0.9614	12.5	0.723	18.75	0.8223	15.62	0.8818	18.75	0.9443	9.38	0.972	18.75	0.9119	15.62
89%	0.797	13.33	0.8702	20.0	0.8015	13.33	0.9639	13.33	0.7382	20.0	0.8351	16.67	0.8841	20.0	0.9449	10.0	0.9768	20.0	0.9198	16.67
90%	0.8005	14.81	0.8869	22.22	0.8383	14.81	0.9673	14.81	0.7502	22.22	0.8434	14.81	0.8884	18.52	0.9513	11.11	0.9798	22.22	0.9214	18.52
91%	0.8104	16.67	0.895	25.0	0.846	16.67	0.9718	16.67	0.7654	25.0	0.8504	16.67	0.8916	20.83	0.9574	12.0	0.982	25.0	0.9304	20.83
92%	0.8206	18.18	0.9073	22.73	0.8602	18.18	0.973	19.05	0.7927	22.73	0.8595	18.18	0.8961	22.73	0.9596	13.64	0.9843	27.27	0.9377	22.73
93%	0.8421	21.05	0.9148	21.05	0.8709	15.79	0.9743	21.05	0.8249	26.32	0.8623	21.05	0.9006	26.32	0.9604	15.79	0.9853	31.58	0.9408	26.32
94%	0.8469	18.75	0.9161	25.0	0.8811	18.75	0.9766	25.0	0.8538	25.0	0.869	25.0	0.9079	31.25	0.9621	18.75	0.9898	37.5	0.9582	25.0
95%	0.8603	21.43	0.9292	28.57	0.8899	21.43	0.9782	28.57	0.8727	28.57	0.872	28.57	0.9299	28.57	0.9639	21.43	0.9902	42.86	0.9641	21.43
96%	0.8744	27.27	0.9458	36.36	0.8942	25.0	0.9793	36.36	0.8928	27.27	0.8751	27.27	0.9341	36.36	0.9699	27.27	0.9947	54.55	0.9688	27.27
97%	0.8983	37.5	0.9504	50.0	0.8985	37.5	0.9827	50.0	0.9166	25.0	0.8773	37.5	0.9525	25.0	0.9753	37.5	0.997	75.0	0.9716	33.33
98%	0.9154	50.0	0.9805	42.86	0.9266	33.33	0.9923	66.67	0.9277	33.33	0.8777	42.86	0.9766	33.33	0.9796	50.0	0.9984	66.67	0.9723	50.0
max	0.9929	-1.0	0.9995	-1.0	0.9924	-1.0	0.9997	-1.0	0.9861	-1.0	0.8798	-1.0	0.9949	-1.0	0.9988	-1.0	0.9999	-1.0	0.9935	-1.0
