	TFm_PYPL_pos_vgood16_mult_28	TFm_PYPL_pos_vgood16_mult_28_per	TFm_PYPL_pos_vgood16_mult_64	TFm_PYPL_pos_vgood16_mult_64_per	TFm_PYPL_pos_vgood16_mult_128	TFm_PYPL_pos_vgood16_mult_128_per	TFm_PYPL_pos_vgood16_mult_conv2	TFm_PYPL_pos_vgood16_mult_conv2_per	TFm_PYPL_pos_vgood16_mult_conv	TFm_PYPL_pos_vgood16_mult_conv_per	TFm_PYPL_pos_vgood16__simp_cordo	TFm_PYPL_pos_vgood16__simp_cordo_per	TFm_PYPL_pos_vgood16_mult_linear	TFm_PYPL_pos_vgood16_mult_linear_per	TFm_PYPL_pos_vgood16_mult_dense2	TFm_PYPL_pos_vgood16_mult_dense2_per	TFm_PYPL_pos_vgood16_mult_lstm	TFm_PYPL_pos_vgood16_mult_lstm_per	TFm_PYPL_pos_vgood16__mult_gru	TFm_PYPL_pos_vgood16__mult_gru_per
acc_per	71.87	-1.0	80.63	-1.0	82.48	-1.0	89.19	-1.0	81.33	-1.0	71.61	-1.0	72.06	-1.0	82.16	-1.0	80.18	-1.0	80.24	-1.0
loss	0.54	-1.0	0.42	-1.0	0.41	-1.0	0.26	-1.0	0.43	-1.0	0.54	-1.0	0.51	-1.0	0.36	-1.0	0.41	-1.0	0.41	-1.0
epochs	8	-1.0	13	-1.0	8	-1.0	12	-1.0	9	-1.0	16	-1.0	29	-1.0	14	-1.0	11	-1.0	12	-1.0
df_test_%	25.0	-1.0	27.3	-1.0	27.3	-1.0	31.2	-1.0	27.8	-1.0	25.0	-1.0	26.4	-1.0	27.3	-1.0	27.8	-1.0	27.3	-1.0
positives	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0
count	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0
mean	0.5262	-1.0	0.3925	-1.0	0.4238	-1.0	0.354	-1.0	0.4376	-1.0	0.4328	-1.0	0.4404	-1.0	0.3671	-1.0	0.4945	-1.0	0.421	-1.0
std	0.1256	-1.0	0.2225	-1.0	0.2099	-1.0	0.2517	-1.0	0.1984	-1.0	0.1826	-1.0	0.2451	-1.0	0.2294	-1.0	0.2764	-1.0	0.2562	-1.0
min	0.3485	-1.0	0.0997	-1.0	0.1828	-1.0	0.0393	-1.0	0.2257	-1.0	0.2137	-1.0	0.0337	-1.0	0.0003	-1.0	0.0455	-1.0	0.0671	-1.0
25%	0.424	5.83	0.2102	6.31	0.2693	6.31	0.1639	5.34	0.2942	6.31	0.3015	6.31	0.2334	6.31	0.1811	5.83	0.2647	6.31	0.1908	6.31
50%	0.4819	8.76	0.3617	9.49	0.3168	8.7	0.2777	8.03	0.3501	8.76	0.3418	8.76	0.4224	9.42	0.3731	8.7	0.5007	9.42	0.3765	9.42
60%	0.5285	10.91	0.4133	11.82	0.3932	10.91	0.3448	10.0	0.3949	10.91	0.3962	10.91	0.4832	10.91	0.4429	10.81	0.5747	11.82	0.4668	11.82
70%	0.5794	9.64	0.4953	14.46	0.5126	13.25	0.4299	13.25	0.5057	13.25	0.4828	12.05	0.5571	9.64	0.4928	13.25	0.659	15.66	0.5857	15.66
75%	0.5979	11.59	0.5201	17.14	0.5576	11.59	0.4883	15.94	0.5256	14.49	0.5114	11.59	0.6066	11.59	0.5097	11.59	0.7439	17.39	0.622	17.39
80%	0.6234	14.55	0.5345	18.18	0.6115	12.73	0.5748	20.0	0.5714	16.36	0.5729	14.55	0.717	12.73	0.5285	12.73	0.7844	20.0	0.6687	18.18
85%	0.6341	19.51	0.5751	16.67	0.6351	16.67	0.6588	21.43	0.588	21.43	0.6223	16.67	0.7487	16.67	0.5721	16.67	0.8415	26.19	0.7063	23.81
86%	0.6373	20.51	0.5817	17.95	0.6374	17.95	0.6755	20.51	0.5979	23.08	0.6241	17.95	0.7601	17.95	0.574	17.95	0.85	28.21	0.7115	23.08
87%	0.6395	22.22	0.5891	19.44	0.6417	19.44	0.6877	22.22	0.6179	25.0	0.6315	19.44	0.7642	19.44	0.5774	19.44	0.8555	30.56	0.7298	19.44
88%	0.7048	21.21	0.6189	21.21	0.6563	21.21	0.737	24.24	0.6883	24.24	0.646	21.21	0.7717	21.21	0.5816	21.21	0.873	24.24	0.7392	21.21
89%	0.7613	22.58	0.7508	22.58	0.8312	22.58	0.7616	25.81	0.8637	22.58	0.7435	22.58	0.7833	22.58	0.5867	22.58	0.8848	22.58	0.7873	22.58
90%	0.7805	25.0	0.7777	25.0	0.8516	25.0	0.7817	28.57	0.8723	25.0	0.8094	25.0	0.8021	25.0	0.6036	25.0	0.8917	25.0	0.8398	25.0
91%	0.7828	24.0	0.7955	28.0	0.8592	28.0	0.7899	32.0	0.8761	28.0	0.841	24.0	0.8082	28.0	0.6223	28.0	0.8969	28.0	0.8431	28.0
92%	0.7873	27.27	0.8187	31.82	0.86	31.82	0.8144	36.36	0.8787	31.82	0.8513	27.27	0.8453	31.82	0.689	31.82	0.9017	31.82	0.8596	31.82
93%	0.7902	30.0	0.8404	35.0	0.8612	35.0	0.8477	40.0	0.8843	35.0	0.8523	30.0	0.8589	30.0	0.7297	35.0	0.9102	35.0	0.8766	35.0
94%	0.7933	35.29	0.878	29.41	0.8679	41.18	0.8759	41.18	0.8895	29.41	0.8554	35.29	0.8723	35.29	0.7666	41.18	0.9206	29.41	0.9017	35.29
95%	0.7967	42.86	0.8987	23.08	0.8717	42.86	0.8933	42.86	0.8953	21.43	0.8579	42.86	0.8788	35.71	0.8067	50.0	0.9251	28.57	0.9094	35.71
96%	0.7995	50.0	0.9049	27.27	0.875	45.45	0.9035	36.36	0.9035	16.67	0.8602	54.55	0.8877	45.45	0.85	54.55	0.9298	18.18	0.9172	18.18
97%	0.8011	55.56	0.9079	22.22	0.88	44.44	0.9157	44.44	0.9058	22.22	0.8646	66.67	0.9075	55.56	0.9116	66.67	0.9334	22.22	0.9215	22.22
98%	0.8034	50.0	0.9203	16.67	0.8834	33.33	0.9332	33.33	0.9112	16.67	0.8657	66.67	0.9133	66.67	0.9354	50.0	0.9398	16.67	0.9324	16.67
max	0.8117	-1.0	0.9629	-1.0	0.9025	-1.0	0.9975	-1.0	0.9485	-1.0	0.877	-1.0	0.9648	-1.0	0.973	-1.0	0.9658	-1.0	0.9601	-1.0
