	TFm_UBER_neg_low1_mult_28	TFm_UBER_neg_low1_mult_28_per	TFm_UBER_neg_low1_mult_64	TFm_UBER_neg_low1_mult_64_per	TFm_UBER_neg_low1_mult_128	TFm_UBER_neg_low1_mult_128_per	TFm_UBER_neg_low1_mult_conv2	TFm_UBER_neg_low1_mult_conv2_per	TFm_UBER_neg_low1_mult_conv	TFm_UBER_neg_low1_mult_conv_per	TFm_UBER_neg_low1__simp_cordo	TFm_UBER_neg_low1__simp_cordo_per	TFm_UBER_neg_low1_mult_linear	TFm_UBER_neg_low1_mult_linear_per	TFm_UBER_neg_low1_mult_dense2	TFm_UBER_neg_low1_mult_dense2_per	TFm_UBER_neg_low1_mult_lstm	TFm_UBER_neg_low1_mult_lstm_per	TFm_UBER_neg_low1__mult_gru	TFm_UBER_neg_low1__mult_gru_per
acc_per	87.53	-1.0	92.34	-1.0	95.46	-1.0	90.11	-1.0	98.31	-1.0	88.01	-1.0	75.00	-1.0	87.60	-1.0	97.15	-1.0	96.14	-1.0
loss	0.32	-1.0	0.22	-1.0	0.12	-1.0	0.73	-1.0	0.05	-1.0	0.30	-1.0	0.51	-1.0	0.29	-1.0	0.08	-1.0	0.10	-1.0
epochs	10	-1.0	9	-1.0	8	-1.0	18	-1.0	11	-1.0	13	-1.0	12	-1.0	8	-1.0	9	-1.0	12	-1.0
df_test_%	11.9	-1.0	16.0	-1.0	15.5	-1.0	30.8	-1.0	11.7	-1.0	20.5	-1.0	14.3	-1.0	11.7	-1.0	24.5	-1.0	8.1	-1.0
positives	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0
count	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0
mean	0.4213	-1.0	0.5057	-1.0	0.5756	-1.0	0.4583	-1.0	0.6441	-1.0	0.5569	-1.0	0.5342	-1.0	0.5756	-1.0	0.4336	-1.0	0.5708	-1.0
std	0.1684	-1.0	0.1553	-1.0	0.097	-1.0	0.3671	-1.0	0.2385	-1.0	0.2993	-1.0	0.2345	-1.0	0.1	-1.0	0.2561	-1.0	0.3647	-1.0
min	0.1238	-1.0	0.153	-1.0	0.3247	-1.0	0.0004	-1.0	0.057	-1.0	0.0148	-1.0	0.0086	-1.0	0.2132	-1.0	0.0637	-1.0	0.0097	-1.0
25%	0.2869	9.69	0.3903	8.67	0.5089	9.69	0.0748	10.2	0.4605	9.74	0.2818	8.67	0.3794	8.67	0.515	8.67	0.2111	10.26	0.2031	10.26
50%	0.4067	12.21	0.5212	10.77	0.5871	10.77	0.4303	13.74	0.6783	7.63	0.7246	9.23	0.5637	12.31	0.6008	12.31	0.3496	12.98	0.6265	12.21
60%	0.4507	12.5	0.5517	10.48	0.6094	12.5	0.624	16.35	0.7607	5.77	0.7747	10.58	0.6548	9.62	0.6217	12.62	0.4605	12.5	0.8039	12.5
70%	0.5216	13.92	0.6016	10.26	0.6328	11.54	0.7834	18.99	0.8235	7.59	0.7881	12.82	0.7071	11.54	0.6403	11.39	0.5501	16.46	0.9147	7.59
75%	0.5546	15.38	0.6197	10.77	0.643	12.12	0.8387	21.54	0.8576	9.23	0.7918	15.38	0.7296	12.12	0.65	10.61	0.6708	18.46	0.9365	7.58
80%	0.5804	16.98	0.6457	13.46	0.6572	13.46	0.8799	24.53	0.8916	9.62	0.7956	19.23	0.7564	11.54	0.6625	11.32	0.7496	20.75	0.9592	5.66
85%	0.6151	12.82	0.6768	15.38	0.6708	17.95	0.9269	25.0	0.9117	10.0	0.7969	17.5	0.7774	15.38	0.6739	10.26	0.7792	22.5	0.9727	5.0
86%	0.6206	13.51	0.6851	16.22	0.6771	18.92	0.9396	24.32	0.9131	10.81	0.7971	16.67	0.7806	13.89	0.6762	10.81	0.7929	21.62	0.9775	5.41
87%	0.6277	14.71	0.6879	17.65	0.6868	20.59	0.9463	26.47	0.9185	11.76	0.7975	17.65	0.7847	14.71	0.6782	11.76	0.8003	23.53	0.9788	5.88
88%	0.6314	12.5	0.6946	15.62	0.6941	21.88	0.9516	28.12	0.9217	12.5	0.7977	18.75	0.7869	15.62	0.6793	12.5	0.8108	21.88	0.9811	6.25
89%	0.6439	10.34	0.7035	13.79	0.698	20.69	0.9557	27.59	0.9246	13.79	0.7978	20.69	0.7912	13.79	0.6818	13.79	0.8219	24.14	0.9835	6.9
90%	0.6573	11.54	0.7122	15.38	0.6997	17.86	0.9663	29.63	0.9306	11.54	0.7979	21.74	0.8007	14.81	0.684	15.38	0.837	26.92	0.9849	7.14
91%	0.6663	12.5	0.7141	16.67	0.7074	12.5	0.9686	29.17	0.9343	12.5	0.7979	21.74	0.8054	16.67	0.6849	8.33	0.8459	29.17	0.9875	8.33
92%	0.6739	14.29	0.7283	19.05	0.7104	9.52	0.9714	33.33	0.9406	9.52	0.7981	19.05	0.8091	14.29	0.6858	9.52	0.8531	23.81	0.9878	9.52
93%	0.6936	10.53	0.7403	15.79	0.7178	10.53	0.9745	36.84	0.9423	10.53	0.7982	21.05	0.8153	10.53	0.6867	10.53	0.8698	21.05	0.9899	10.53
94%	0.7	12.5	0.7518	18.75	0.7246	12.5	0.9763	37.5	0.9531	12.5	0.7982	21.05	0.8254	12.5	0.689	6.25	0.8776	25.0	0.991	12.5
95%	0.7079	15.38	0.7616	21.43	0.7267	14.29	0.9821	38.46	0.9574	14.29	0.7983	14.29	0.8358	14.29	0.6925	7.69	0.8832	30.77	0.9922	16.67
96%	0.713	18.18	0.7711	27.27	0.7375	18.18	0.9846	45.45	0.961	18.18	0.7983	14.29	0.8413	18.18	0.699	9.09	0.8971	36.36	0.9926	20.0
97%	0.7425	12.5	0.7764	37.5	0.742	25.0	0.9855	50.0	0.969	25.0	0.7984	14.29	0.8713	25.0	0.7005	12.5	0.9124	37.5	0.9934	25.0
98%	0.7709	16.67	0.7858	50.0	0.751	33.33	0.9889	50.0	0.9735	33.33	0.7985	14.29	0.8784	33.33	0.704	16.67	0.9148	33.33	0.994	33.33
max	0.8161	-1.0	0.8525	-1.0	0.7918	-1.0	0.9987	-1.0	0.9883	-1.0	0.7987	-1.0	0.9143	-1.0	0.742	-1.0	0.9318	-1.0	0.9962	-1.0
