	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_PYPL_neg_vgood16_mult_28	78.92	0.45	21.0	28.1	17.0	274.0	0.4483	0.1857	0.1117	0.321	0.393	0.4372	0.5226	0.5612	0.5842	0.6536	0.6676	0.6816	0.7021	0.7119	0.7206	0.761	0.7765	0.8024	0.8108	0.8355	0.8537	0.8732	0.9046	0.973
TFm_PYPL_neg_vgood16_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.32	10.22	12.73	14.63	17.39	20.0	21.95	23.08	22.22	24.24	25.81	28.57	28.0	31.82	30.0	29.41	28.57	36.36	44.44	50.0	-1.0
TFm_PYPL_neg_vgood16_mult_64	83.42	0.36	17.0	34.2	17.0	274.0	0.4971	0.2165	0.0195	0.3543	0.4933	0.5505	0.5943	0.6197	0.6496	0.6914	0.7099	0.7322	0.7417	0.756	0.7762	0.8074	0.8407	0.8757	0.9185	0.9388	0.9428	0.9529	0.9562	0.9838
TFm_PYPL_neg_vgood16_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.8	9.49	11.82	14.63	17.14	18.18	24.39	23.08	25.0	27.27	29.03	32.14	36.0	40.91	40.0	47.06	42.86	45.45	55.56	83.33	-1.0
TFm_PYPL_neg_vgood16_mult_128	86.83	0.33	10.0	21.3	17.0	274.0	0.6051	0.1625	0.2338	0.4776	0.6097	0.6656	0.7033	0.7264	0.7515	0.79	0.7975	0.804	0.8113	0.8155	0.8205	0.8249	0.8389	0.843	0.8477	0.8547	0.8666	0.9	0.9184	0.966
TFm_PYPL_neg_vgood16_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.83	9.49	10.91	14.63	17.39	18.18	17.07	15.38	16.67	18.18	19.35	21.43	20.0	22.73	26.32	29.41	35.71	36.36	44.44	50.0	-1.0
TFm_PYPL_neg_vgood16_mult_conv2	87.79	0.3	11.0	32.3	17.0	274.0	0.5061	0.206	0.0088	0.3717	0.5039	0.5455	0.5986	0.6301	0.6625	0.7064	0.723	0.7361	0.7649	0.7891	0.7932	0.8218	0.8291	0.8409	0.8665	0.8895	0.907	0.9289	0.9376	0.9761
TFm_PYPL_neg_vgood16_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.8	11.68	14.55	18.29	18.84	23.64	24.39	25.64	27.78	30.3	32.26	32.14	32.0	31.82	35.0	29.41	35.71	36.36	44.44	66.67	-1.0
TFm_PYPL_neg_vgood16_mult_conv	85.09	0.38	14.0	21.6	17.0	274.0	0.4189	0.1916	0.059	0.2775	0.3778	0.4282	0.4908	0.5391	0.5703	0.6214	0.6266	0.635	0.6531	0.6652	0.6846	0.7301	0.7429	0.7667	0.803	0.8213	0.848	0.8641	0.8817	0.95
TFm_PYPL_neg_vgood16_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.83	10.22	11.82	14.63	14.49	18.18	24.39	25.64	27.78	27.27	22.58	21.43	20.0	18.18	20.0	23.53	21.43	27.27	33.33	33.33	-1.0
TFm_PYPL_neg_vgood16__simp_cordo	67.74	0.6	15.0	31.1	17.0	274.0	0.5116	0.1199	0.3826	0.4372	0.4729	0.4909	0.5155	0.5299	0.5515	0.6011	0.6177	0.6394	0.6496	0.663	0.6968	0.7277	0.7413	0.7551	0.7868	0.8262	0.8461	0.871	0.8879	0.9233
TFm_PYPL_neg_vgood16__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.34	7.3	9.09	10.98	13.04	16.36	21.95	23.08	25.0	27.27	29.03	28.57	32.0	34.78	35.0	41.18	42.86	45.45	55.56	66.67	-1.0
TFm_PYPL_neg_vgood16_mult_linear	67.93	0.59	38.0	15.6	17.0	274.0	0.5075	0.1655	0.1269	0.4043	0.518	0.5431	0.5719	0.5871	0.6241	0.6515	0.6675	0.6762	0.6928	0.6975	0.7012	0.7266	0.733	0.7487	0.7715	0.792	0.8439	0.8878	0.9067	0.9874
TFm_PYPL_neg_vgood16_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.34	7.3	7.27	9.76	11.59	12.73	17.07	17.95	19.44	15.15	16.13	17.86	16.0	13.64	15.0	17.65	21.43	27.27	33.33	50.0	-1.0
TFm_PYPL_neg_vgood16_mult_dense2	84.96	0.34	19.0	23.4	17.0	274.0	0.4718	0.2973	0.0004	0.2077	0.5357	0.6155	0.6666	0.6975	0.7596	0.8038	0.8084	0.8238	0.8345	0.8497	0.8592	0.8672	0.8678	0.8714	0.8898	0.9021	0.9115	0.9218	0.9286	0.9808
TFm_PYPL_neg_vgood16_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.83	8.03	8.18	10.98	13.04	14.55	17.07	17.95	19.44	21.21	22.58	25.0	24.0	22.73	25.0	29.41	28.57	27.27	33.33	50.0	-1.0
TFm_PYPL_neg_vgood16_mult_lstm	91.2	0.22	19.0	33.8	17.0	274.0	0.4165	0.3225	0.0	0.0348	0.502	0.6045	0.6449	0.6595	0.6823	0.7053	0.7168	0.7201	0.7256	0.7321	0.7515	0.7947	0.8725	0.9113	0.9632	0.9787	0.985	0.9929	0.9977	0.9998
TFm_PYPL_neg_vgood16_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.29	11.68	14.68	19.51	21.74	25.45	31.71	30.77	30.56	30.3	32.26	32.14	32.0	36.36	40.0	41.18	50.0	45.45	55.56	83.33	-1.0
TFm_PYPL_neg_vgood16__mult_gru	84.45	0.34	12.0	35.1	17.0	274.0	0.5696	0.2	0.0441	0.4415	0.5903	0.6433	0.6859	0.7069	0.7338	0.7655	0.7758	0.784	0.7973	0.8004	0.8125	0.8288	0.8419	0.8637	0.8764	0.8892	0.8991	0.9108	0.9144	0.9452
TFm_PYPL_neg_vgood16__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.8	10.22	11.82	14.63	15.94	16.36	21.95	23.08	25.0	27.27	29.03	32.14	36.0	40.91	45.0	47.06	50.0	63.64	77.78	100.0	-1.0
TFm_PYPL_neg_good9_mult_28	81.5	0.41	15.0	15.1	12.0	266.0	0.429	0.2082	0.0572	0.2534	0.3901	0.4572	0.5465	0.5751	0.6276	0.6682	0.6714	0.679	0.7034	0.7404	0.7489	0.7561	0.7665	0.783	0.7956	0.8076	0.8188	0.8385	0.8521	0.9856
TFm_PYPL_neg_good9_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	7.52	7.48	8.75	10.45	9.43	10.0	10.53	11.43	12.5	13.33	14.81	16.67	17.39	15.79	12.5	14.29	18.18	12.5	0.0	-1.0
TFm_PYPL_neg_good9_mult_64	87.67	0.29	13.0	16.1	12.0	266.0	0.4848	0.2281	0.0536	0.287	0.463	0.5418	0.6438	0.6884	0.7246	0.7615	0.7678	0.7856	0.7876	0.8014	0.8089	0.8195	0.8238	0.8365	0.8477	0.8499	0.8583	0.8738	0.926	0.9661
TFm_PYPL_neg_good9_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	7.52	9.43	10.0	10.45	7.41	10.0	10.53	11.43	12.5	13.33	14.81	16.67	18.18	21.05	25.0	28.57	36.36	37.5	50.0	-1.0
TFm_PYPL_neg_good9_mult_128	92.84	0.18	10.0	17.2	12.0	266.0	0.484	0.2329	0.0869	0.305	0.45	0.5207	0.6134	0.6564	0.692	0.7738	0.7826	0.796	0.8277	0.8524	0.8689	0.8839	0.8905	0.8946	0.8971	0.8997	0.9092	0.914	0.9281	0.9899
TFm_PYPL_neg_good9_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	6.02	7.48	10.0	10.45	13.21	17.5	15.79	14.29	15.62	16.67	14.81	16.67	18.18	21.05	25.0	28.57	36.36	25.0	33.33	-1.0
TFm_PYPL_neg_good9_mult_conv2	91.84	0.21	13.0	20.3	12.0	266.0	0.5372	0.2624	0.0476	0.322	0.5283	0.6501	0.7511	0.789	0.8185	0.8373	0.8448	0.8492	0.8552	0.862	0.8662	0.8722	0.8795	0.8848	0.8938	0.899	0.9163	0.9348	0.9448	0.9853
TFm_PYPL_neg_good9_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	7.52	8.41	10.0	10.45	12.96	15.0	15.79	17.14	18.75	20.0	18.52	20.83	22.73	21.05	25.0	21.43	27.27	37.5	33.33	-1.0
TFm_PYPL_neg_good9_mult_conv	89.12	0.27	10.0	16.1	12.0	266.0	0.6433	0.1497	0.3052	0.5301	0.6381	0.6962	0.7359	0.753	0.7859	0.8056	0.8106	0.8183	0.8239	0.8317	0.8489	0.8625	0.8696	0.8814	0.8896	0.8937	0.9005	0.9066	0.9138	0.9599
TFm_PYPL_neg_good9_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	8.27	9.35	10.0	7.46	7.55	10.0	10.53	11.43	12.5	13.33	14.81	16.67	18.18	21.05	25.0	28.57	36.36	50.0	66.67	-1.0
TFm_PYPL_neg_good9__simp_cordo	79.05	0.46	18.0	13.7	12.0	266.0	0.4415	0.2796	0.1658	0.1964	0.2898	0.4364	0.607	0.6831	0.8001	0.8622	0.8692	0.8831	0.8926	0.8962	0.9057	0.9111	0.913	0.9209	0.9243	0.9277	0.9331	0.9437	0.9463	0.9632
TFm_PYPL_neg_good9__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	7.52	7.55	8.75	8.96	11.11	15.0	15.79	17.14	15.62	13.33	11.11	12.5	13.64	15.79	18.75	21.43	27.27	33.33	33.33	-1.0
TFm_PYPL_neg_good9_mult_linear	75.73	0.5	14.0	13.8	12.0	266.0	0.6527	0.2221	0.0013	0.4418	0.6772	0.7397	0.8151	0.8593	0.8909	0.9106	0.9141	0.9164	0.919	0.9234	0.9282	0.9302	0.9319	0.9341	0.9386	0.9419	0.9477	0.9532	0.963	0.9956
TFm_PYPL_neg_good9_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	8.27	9.35	8.75	8.96	11.11	10.0	10.53	11.43	12.5	13.33	14.81	12.5	13.64	15.79	20.0	21.43	18.18	25.0	16.67	-1.0
TFm_PYPL_neg_good9_mult_dense2	88.66	0.26	9.0	24.1	12.0	266.0	0.5778	0.1623	0.0279	0.4618	0.5806	0.6196	0.6832	0.7024	0.7099	0.7335	0.7415	0.7449	0.7539	0.7614	0.7783	0.7938	0.8032	0.8143	0.8274	0.8352	0.8382	0.8473	0.8895	0.9853
TFm_PYPL_neg_good9_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	9.02	7.48	7.5	9.09	11.11	15.0	15.79	17.14	18.75	20.0	22.22	25.0	27.27	31.58	37.5	42.86	36.36	37.5	33.33	-1.0
TFm_PYPL_neg_good9_mult_lstm	91.45	0.22	8.0	16.1	12.0	266.0	0.5048	0.151	0.2585	0.3781	0.4828	0.5291	0.5755	0.5975	0.616	0.6235	0.6271	0.6399	0.6573	0.6884	0.714	0.8017	0.8047	0.8117	0.816	0.818	0.8266	0.8387	0.8561	0.9505
TFm_PYPL_neg_good9_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.0	9.02	7.55	8.75	8.96	9.26	12.5	13.16	11.43	12.5	13.33	14.81	16.67	18.18	21.05	18.75	21.43	27.27	37.5	50.0	-1.0
TFm_PYPL_neg_good9__mult_gru	92.37	0.18	15.0	29.2	12.0	266.0	0.4287	0.3726	0.0032	0.0471	0.3573	0.5965	0.7449	0.8177	0.86	0.9108	0.9202	0.9332	0.9449	0.9503	0.952	0.9543	0.9558	0.959	0.962	0.9655	0.9731	0.9801	0.9893	0.9954
TFm_PYPL_neg_good9__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.06	9.02	9.43	10.0	11.94	15.09	20.0	21.05	22.86	25.0	26.67	25.93	29.17	31.82	36.84	43.75	50.0	63.64	87.5	83.33	-1.0
TFm_PYPL_neg_reg4_mult_28	85.75	0.32	20.0	16.1	11.0	266.0	0.3774	0.2775	0.0273	0.1265	0.2853	0.4199	0.5595	0.6426	0.6864	0.7364	0.751	0.77	0.7911	0.797	0.8005	0.8104	0.8206	0.8421	0.8469	0.8603	0.8744	0.8983	0.9154	0.9929
TFm_PYPL_neg_reg4_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	7.52	9.35	11.25	13.43	12.96	10.0	10.53	11.43	12.5	13.33	14.81	16.67	18.18	21.05	18.75	21.43	27.27	37.5	50.0	-1.0
TFm_PYPL_neg_reg4_mult_64	94.97	0.15	18.0	21.6	11.0	266.0	0.4505	0.3111	0.0019	0.1593	0.4117	0.5662	0.692	0.7302	0.7961	0.8258	0.8321	0.8388	0.8508	0.8702	0.8869	0.895	0.9073	0.9148	0.9161	0.9292	0.9458	0.9504	0.9805	0.9995
TFm_PYPL_neg_reg4_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.03	7.52	8.41	11.25	11.94	14.81	17.5	18.42	17.14	18.75	20.0	22.22	25.0	22.73	21.05	25.0	28.57	36.36	50.0	42.86	-1.0
TFm_PYPL_neg_reg4_mult_128	95.36	0.12	12.0	15.2	11.0	266.0	0.3826	0.2589	0.0129	0.1827	0.3032	0.3617	0.4662	0.5537	0.6434	0.7458	0.7538	0.7796	0.7985	0.8015	0.8383	0.846	0.8602	0.8709	0.8811	0.8899	0.8942	0.8985	0.9266	0.9924
TFm_PYPL_neg_reg4_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	6.77	8.41	10.0	11.94	15.09	15.0	15.79	11.43	12.5	13.33	14.81	16.67	18.18	15.79	18.75	21.43	25.0	37.5	33.33	-1.0
TFm_PYPL_neg_reg4_mult_conv2	86.27	0.54	13.0	16.2	11.0	266.0	0.6146	0.2912	0.0464	0.3375	0.655	0.7764	0.8739	0.8959	0.9198	0.943	0.9494	0.9548	0.9614	0.9639	0.9673	0.9718	0.973	0.9743	0.9766	0.9782	0.9793	0.9827	0.9923	0.9997
TFm_PYPL_neg_reg4_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	8.27	9.43	10.0	10.45	13.21	9.76	10.53	11.43	12.5	13.33	14.81	16.67	19.05	21.05	25.0	28.57	36.36	50.0	66.67	-1.0
TFm_PYPL_neg_reg4_mult_conv	93.33	0.18	9.0	22.5	11.0	266.0	0.5443	0.1591	0.2165	0.4272	0.508	0.5702	0.6216	0.6436	0.6687	0.7024	0.7061	0.7133	0.723	0.7382	0.7502	0.7654	0.7927	0.8249	0.8538	0.8727	0.8928	0.9166	0.9277	0.9861
TFm_PYPL_neg_reg4_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	7.52	8.41	11.25	13.43	15.09	15.0	15.79	17.14	18.75	20.0	22.22	25.0	22.73	26.32	25.0	28.57	27.27	25.0	33.33	-1.0
TFm_PYPL_neg_reg4__simp_cordo	86.27	0.33	14.0	17.2	11.0	266.0	0.3743	0.2844	0.0899	0.1315	0.2149	0.3595	0.5191	0.6135	0.7572	0.8052	0.8106	0.8181	0.8223	0.8351	0.8434	0.8504	0.8595	0.8623	0.869	0.872	0.8751	0.8773	0.8777	0.8798
TFm_PYPL_neg_reg4__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	8.27	10.28	12.5	13.43	15.09	15.0	15.79	14.29	15.62	16.67	14.81	16.67	18.18	21.05	25.0	28.57	27.27	37.5	42.86	-1.0
TFm_PYPL_neg_reg4_mult_linear	83.01	0.39	10.0	21.2	11.0	266.0	0.6131	0.2177	0.0262	0.4434	0.6258	0.6879	0.7689	0.812	0.844	0.8705	0.8745	0.8784	0.8818	0.8841	0.8884	0.8916	0.8961	0.9006	0.9079	0.9299	0.9341	0.9525	0.9766	0.9949
TFm_PYPL_neg_reg4_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	8.27	9.43	11.25	13.43	14.81	15.0	15.79	17.14	18.75	20.0	18.52	20.83	22.73	26.32	31.25	28.57	36.36	25.0	33.33	-1.0
TFm_PYPL_neg_reg4_mult_dense2	88.24	0.28	9.0	12.0	11.0	266.0	0.7107	0.2194	0.1229	0.5854	0.7551	0.8046	0.8691	0.8976	0.9245	0.9402	0.9411	0.9434	0.9443	0.9449	0.9513	0.9574	0.9596	0.9604	0.9621	0.9639	0.9699	0.9753	0.9796	0.9988
TFm_PYPL_neg_reg4_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	7.52	8.49	10.0	8.96	9.26	7.5	8.11	8.57	9.38	10.0	11.11	12.0	13.64	15.79	18.75	21.43	27.27	37.5	50.0	-1.0
TFm_PYPL_neg_reg4_mult_lstm	97.58	0.06	13.0	24.1	11.0	266.0	0.701	0.3176	0.0028	0.5232	0.8542	0.8985	0.9268	0.9353	0.9483	0.9626	0.9663	0.9686	0.972	0.9768	0.9798	0.982	0.9843	0.9853	0.9898	0.9902	0.9947	0.997	0.9984	0.9999
TFm_PYPL_neg_reg4_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	7.52	8.33	11.25	11.94	13.21	15.0	15.79	17.14	18.75	20.0	22.22	25.0	27.27	31.58	37.5	42.86	54.55	75.0	66.67	-1.0
TFm_PYPL_neg_reg4__mult_gru	94.71	0.14	10.0	20.1	11.0	266.0	0.5096	0.2929	0.0688	0.2332	0.4889	0.5922	0.7317	0.8052	0.8427	0.8984	0.9045	0.9084	0.9119	0.9198	0.9214	0.9304	0.9377	0.9408	0.9582	0.9641	0.9688	0.9716	0.9723	0.9935
TFm_PYPL_neg_reg4__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	7.52	9.43	11.25	11.94	13.21	12.5	13.16	14.29	15.62	16.67	18.52	20.83	22.73	26.32	25.0	21.43	27.27	33.33	50.0	-1.0
TFm_PYPL_neg_low1_mult_28	92.0	0.21	22.0	21.2	10.0	266.0	0.5209	0.2545	0.0295	0.3026	0.5087	0.5902	0.6976	0.7469	0.7756	0.8197	0.8258	0.8349	0.8486	0.8586	0.8626	0.8733	0.8907	0.9076	0.9144	0.9275	0.937	0.9409	0.9552	0.9986
TFm_PYPL_neg_low1_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.03	7.52	7.48	8.75	10.45	13.21	17.5	18.42	20.0	18.75	20.0	18.52	20.83	22.73	26.32	31.25	35.71	45.45	50.0	66.67	-1.0
TFm_PYPL_neg_low1_mult_64	91.07	0.22	8.0	20.1	10.0	266.0	0.5735	0.0751	0.4293	0.522	0.5661	0.5818	0.6008	0.6111	0.6306	0.6427	0.6446	0.6486	0.6546	0.6617	0.666	0.6735	0.6764	0.6908	0.7022	0.7068	0.7237	0.7305	0.7473	0.93
TFm_PYPL_neg_low1_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.52	5.26	6.54	8.75	10.45	13.21	12.5	13.16	14.29	15.62	16.67	18.52	20.83	22.73	26.32	31.25	28.57	36.36	50.0	33.33	-1.0
TFm_PYPL_neg_low1_mult_128	95.67	0.12	11.0	21.2	10.0	266.0	0.7082	0.2277	0.0354	0.5708	0.7577	0.8244	0.8794	0.8986	0.9216	0.9418	0.9423	0.9473	0.9508	0.9533	0.9581	0.9612	0.9635	0.9649	0.9659	0.9703	0.9732	0.982	0.9846	0.9991
TFm_PYPL_neg_low1_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.02	5.97	6.6	8.75	10.45	13.21	15.0	15.79	17.14	18.75	20.0	18.52	20.83	22.73	26.32	31.25	35.71	45.45	50.0	66.67	-1.0
TFm_PYPL_neg_low1_mult_conv	97.27	0.11	9.0	11.0	10.0	266.0	0.7768	0.0936	0.4398	0.7412	0.7972	0.8089	0.826	0.8379	0.8497	0.8575	0.8583	0.8612	0.8666	0.8719	0.8746	0.8774	0.8788	0.8827	0.8881	0.8915	0.8959	0.8995	0.9087	0.9768
TFm_PYPL_neg_low1_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.52	3.76	4.67	6.25	5.97	7.41	10.0	10.53	11.43	12.5	10.0	11.11	12.5	9.09	10.53	12.5	14.29	18.18	25.0	33.33	-1.0
TFm_PYPL_neg_low1__simp_cordo	90.4	0.24	23.0	26.3	10.0	266.0	0.5018	0.3373	0.0243	0.1474	0.5253	0.7051	0.8053	0.8609	0.8797	0.8977	0.9008	0.9037	0.9044	0.9069	0.909	0.9111	0.9126	0.9144	0.9169	0.9229	0.9296	0.9334	0.9457	0.9618
TFm_PYPL_neg_low1__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.03	6.77	6.6	8.75	10.45	12.96	17.5	18.42	20.0	21.21	23.33	25.93	29.17	31.82	26.32	31.25	35.71	45.45	50.0	66.67	-1.0
TFm_PYPL_neg_low1_mult_linear	81.6	0.41	12.0	15.8	10.0	266.0	0.862	0.0911	0.3763	0.8259	0.8789	0.897	0.909	0.9243	0.9304	0.9398	0.9427	0.9447	0.946	0.9474	0.9514	0.955	0.9556	0.9589	0.9633	0.9661	0.9703	0.9718	0.9728	0.99
TFm_PYPL_neg_low1_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.03	6.02	7.55	8.86	10.45	13.21	12.5	13.16	11.43	12.5	13.33	14.81	16.0	17.39	21.05	12.5	14.29	18.18	22.22	33.33	-1.0
TFm_PYPL_neg_low1_mult_dense2	92.6	0.22	19.0	8.1	10.0	266.0	0.7151	0.3393	0.0006	0.5183	0.8944	0.9372	0.9656	0.9782	0.9876	0.9922	0.994	0.9948	0.9956	0.9957	0.9958	0.9962	0.9971	0.998	0.9983	0.9986	0.999	0.9994	0.9996	1.0
TFm_PYPL_neg_low1_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.02	3.01	1.89	2.5	2.99	3.77	4.88	5.26	5.71	6.25	7.14	7.41	8.33	9.09	10.53	12.5	14.29	9.09	11.11	14.29	-1.0
TFm_PYPL_neg_low1_mult_lstm	95.67	0.17	9.0	16.2	10.0	266.0	0.8654	0.1281	0.3752	0.8263	0.9086	0.933	0.9475	0.9575	0.9673	0.9756	0.9779	0.9798	0.9814	0.9821	0.9835	0.9851	0.9861	0.9865	0.9872	0.9891	0.9899	0.9905	0.9912	0.9976
TFm_PYPL_neg_low1_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.02	6.02	7.55	8.75	10.45	9.26	10.0	10.53	11.43	12.5	13.79	14.81	16.67	18.18	21.05	22.22	28.57	27.27	33.33	50.0	-1.0
TFm_PYPL_neg_low1__mult_gru	93.4	0.18	11.0	26.5	10.0	266.0	0.38	0.2889	0.0115	0.1265	0.3089	0.4137	0.5265	0.6078	0.7014	0.7667	0.7774	0.7893	0.8011	0.81	0.8156	0.8329	0.8531	0.8749	0.8944	0.9159	0.9306	0.9317	0.9455	0.9886
TFm_PYPL_neg_low1__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.52	6.02	7.48	8.75	10.45	12.96	17.5	18.42	20.0	21.88	23.33	25.93	29.17	27.27	31.58	37.5	42.86	45.45	50.0	50.0	-1.0
