	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_PYPL_pos_vgood16_mult_28	71.87	0.54	8.0	25.0	13.0	275.0	0.5262	0.1256	0.3485	0.424	0.4819	0.5285	0.5794	0.5979	0.6234	0.6341	0.6373	0.6395	0.7048	0.7613	0.7805	0.7828	0.7873	0.7902	0.7933	0.7967	0.7995	0.8011	0.8034	0.8117
TFm_PYPL_pos_vgood16_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.83	8.76	10.91	9.64	11.59	14.55	19.51	20.51	22.22	21.21	22.58	25.0	24.0	27.27	30.0	35.29	42.86	50.0	55.56	50.0	-1.0
TFm_PYPL_pos_vgood16_mult_64	80.63	0.42	13.0	27.3	13.0	275.0	0.3925	0.2225	0.0997	0.2102	0.3617	0.4133	0.4953	0.5201	0.5345	0.5751	0.5817	0.5891	0.6189	0.7508	0.7777	0.7955	0.8187	0.8404	0.878	0.8987	0.9049	0.9079	0.9203	0.9629
TFm_PYPL_pos_vgood16_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.31	9.49	11.82	14.46	17.14	18.18	16.67	17.95	19.44	21.21	22.58	25.0	28.0	31.82	35.0	29.41	23.08	27.27	22.22	16.67	-1.0
TFm_PYPL_pos_vgood16_mult_128	82.48	0.41	8.0	27.3	13.0	275.0	0.4238	0.2099	0.1828	0.2693	0.3168	0.3932	0.5126	0.5576	0.6115	0.6351	0.6374	0.6417	0.6563	0.8312	0.8516	0.8592	0.86	0.8612	0.8679	0.8717	0.875	0.88	0.8834	0.9025
TFm_PYPL_pos_vgood16_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.31	8.7	10.91	13.25	11.59	12.73	16.67	17.95	19.44	21.21	22.58	25.0	28.0	31.82	35.0	41.18	42.86	45.45	44.44	33.33	-1.0
TFm_PYPL_pos_vgood16_mult_conv2	89.19	0.26	12.0	31.2	13.0	275.0	0.354	0.2517	0.0393	0.1639	0.2777	0.3448	0.4299	0.4883	0.5748	0.6588	0.6755	0.6877	0.737	0.7616	0.7817	0.7899	0.8144	0.8477	0.8759	0.8933	0.9035	0.9157	0.9332	0.9975
TFm_PYPL_pos_vgood16_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.34	8.03	10.0	13.25	15.94	20.0	21.43	20.51	22.22	24.24	25.81	28.57	32.0	36.36	40.0	41.18	42.86	36.36	44.44	33.33	-1.0
TFm_PYPL_pos_vgood16_mult_conv	81.33	0.43	9.0	27.8	13.0	275.0	0.4376	0.1984	0.2257	0.2942	0.3501	0.3949	0.5057	0.5256	0.5714	0.588	0.5979	0.6179	0.6883	0.8637	0.8723	0.8761	0.8787	0.8843	0.8895	0.8953	0.9035	0.9058	0.9112	0.9485
TFm_PYPL_pos_vgood16_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.31	8.76	10.91	13.25	14.49	16.36	21.43	23.08	25.0	24.24	22.58	25.0	28.0	31.82	35.0	29.41	21.43	16.67	22.22	16.67	-1.0
TFm_PYPL_pos_vgood16__simp_cordo	71.61	0.54	16.0	25.0	13.0	275.0	0.4328	0.1826	0.2137	0.3015	0.3418	0.3962	0.4828	0.5114	0.5729	0.6223	0.6241	0.6315	0.646	0.7435	0.8094	0.841	0.8513	0.8523	0.8554	0.8579	0.8602	0.8646	0.8657	0.877
TFm_PYPL_pos_vgood16__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.31	8.76	10.91	12.05	11.59	14.55	16.67	17.95	19.44	21.21	22.58	25.0	24.0	27.27	30.0	35.29	42.86	54.55	66.67	66.67	-1.0
TFm_PYPL_pos_vgood16_mult_linear	72.06	0.51	29.0	26.4	13.0	275.0	0.4404	0.2451	0.0337	0.2334	0.4224	0.4832	0.5571	0.6066	0.717	0.7487	0.7601	0.7642	0.7717	0.7833	0.8021	0.8082	0.8453	0.8589	0.8723	0.8788	0.8877	0.9075	0.9133	0.9648
TFm_PYPL_pos_vgood16_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.31	9.42	10.91	9.64	11.59	12.73	16.67	17.95	19.44	21.21	22.58	25.0	28.0	31.82	30.0	35.29	35.71	45.45	55.56	66.67	-1.0
TFm_PYPL_pos_vgood16_mult_dense2	82.16	0.36	14.0	27.3	13.0	275.0	0.3671	0.2294	0.0003	0.1811	0.3731	0.4429	0.4928	0.5097	0.5285	0.5721	0.574	0.5774	0.5816	0.5867	0.6036	0.6223	0.689	0.7297	0.7666	0.8067	0.85	0.9116	0.9354	0.973
TFm_PYPL_pos_vgood16_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.83	8.7	10.81	13.25	11.59	12.73	16.67	17.95	19.44	21.21	22.58	25.0	28.0	31.82	35.0	41.18	50.0	54.55	66.67	50.0	-1.0
TFm_PYPL_pos_vgood16_mult_lstm	80.18	0.41	11.0	27.8	13.0	275.0	0.4945	0.2764	0.0455	0.2647	0.5007	0.5747	0.659	0.7439	0.7844	0.8415	0.85	0.8555	0.873	0.8848	0.8917	0.8969	0.9017	0.9102	0.9206	0.9251	0.9298	0.9334	0.9398	0.9658
TFm_PYPL_pos_vgood16_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.31	9.42	11.82	15.66	17.39	20.0	26.19	28.21	30.56	24.24	22.58	25.0	28.0	31.82	35.0	29.41	28.57	18.18	22.22	16.67	-1.0
TFm_PYPL_pos_vgood16__mult_gru	80.24	0.41	12.0	27.3	13.0	275.0	0.421	0.2562	0.0671	0.1908	0.3765	0.4668	0.5857	0.622	0.6687	0.7063	0.7115	0.7298	0.7392	0.7873	0.8398	0.8431	0.8596	0.8766	0.9017	0.9094	0.9172	0.9215	0.9324	0.9601
TFm_PYPL_pos_vgood16__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.31	9.42	11.82	15.66	17.39	18.18	23.81	23.08	19.44	21.21	22.58	25.0	28.0	31.82	35.0	35.29	35.71	18.18	22.22	16.67	-1.0
TFm_PYPL_pos_good9_mult_28	86.68	0.38	9.0	28.2	13.0	266.0	0.457	0.148	0.2798	0.3561	0.3992	0.4408	0.4737	0.5122	0.5427	0.5688	0.5794	0.5813	0.592	0.6076	0.6276	0.6479	0.7494	0.8091	0.8307	0.839	0.8538	0.8677	0.8783	0.9692
TFm_PYPL_pos_good9_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	8.27	8.41	8.75	10.45	12.96	17.5	18.42	20.0	21.88	23.33	25.93	29.17	31.82	36.84	31.25	28.57	27.27	25.0	16.67	-1.0
TFm_PYPL_pos_good9_mult_64	90.96	0.26	10.0	28.2	13.0	266.0	0.3942	0.2205	0.088	0.2098	0.3441	0.4218	0.5344	0.5447	0.5641	0.5782	0.5842	0.5883	0.6018	0.6071	0.6201	0.6551	0.7372	0.7913	0.9001	0.9251	0.93	0.946	0.954	0.9774
TFm_PYPL_pos_good9_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.53	7.52	9.35	11.25	13.43	16.98	20.0	21.05	20.0	21.88	23.33	25.93	29.17	31.82	36.84	37.5	42.86	54.55	75.0	83.33	-1.0
TFm_PYPL_pos_good9_mult_128	93.21	0.19	10.0	25.5	13.0	266.0	0.2972	0.2606	0.0187	0.1224	0.1998	0.2612	0.3462	0.3673	0.4236	0.5077	0.5749	0.6237	0.7098	0.7703	0.7966	0.8092	0.8707	0.9051	0.9217	0.946	0.957	0.9693	0.9696	0.9934
TFm_PYPL_pos_good9_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	8.27	10.38	13.75	14.93	18.52	22.5	23.68	25.71	25.0	23.33	25.93	25.0	27.27	26.32	25.0	28.57	36.36	37.5	33.33	-1.0
TFm_PYPL_pos_good9_mult_conv2	92.68	0.2	13.0	22.5	13.0	266.0	0.3281	0.2842	0.0111	0.0875	0.2178	0.3206	0.4552	0.5113	0.6107	0.6912	0.7064	0.7184	0.7357	0.7521	0.7554	0.7766	0.7869	0.8299	0.9172	0.9634	0.9692	0.9732	0.979	0.9843
TFm_PYPL_pos_good9_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.53	9.02	11.21	12.5	13.43	15.09	17.5	18.42	17.14	18.75	20.0	22.22	25.0	22.73	26.32	31.25	28.57	36.36	50.0	50.0	-1.0
TFm_PYPL_pos_good9_mult_conv	92.22	0.22	9.0	24.1	13.0	266.0	0.5373	0.1046	0.3222	0.4725	0.5211	0.5416	0.5572	0.5662	0.5795	0.6056	0.6185	0.6313	0.6401	0.6725	0.6761	0.6888	0.6987	0.7052	0.7326	0.7747	0.8201	0.8481	0.8555	0.8906
TFm_PYPL_pos_good9_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	8.27	9.43	11.25	13.43	14.81	15.0	15.79	17.14	18.75	20.0	22.22	25.0	27.27	31.58	37.5	35.71	36.36	50.0	33.33	-1.0
TFm_PYPL_pos_good9__simp_cordo	75.86	0.52	8.0	28.2	13.0	266.0	0.4275	0.1281	0.3533	0.3552	0.3577	0.3652	0.4093	0.4209	0.4975	0.5479	0.5502	0.5596	0.5636	0.5786	0.5868	0.6117	0.7355	0.7535	0.7625	0.7671	0.7738	0.7818	0.7854	0.8584
TFm_PYPL_pos_good9__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.47	8.27	9.35	8.75	10.45	13.21	17.5	18.42	20.0	21.88	23.33	25.93	29.17	31.82	36.84	31.25	28.57	18.18	12.5	0.0	-1.0
TFm_PYPL_pos_good9_mult_linear	78.76	0.46	14.0	22.7	13.0	266.0	0.5899	0.1749	0.0152	0.4709	0.589	0.6244	0.6643	0.6922	0.7364	0.7764	0.7817	0.797	0.8102	0.8264	0.839	0.8446	0.8749	0.887	0.901	0.9119	0.9269	0.931	0.9362	0.9779
TFm_PYPL_pos_good9_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.53	8.27	8.49	10.0	10.45	13.21	17.5	18.42	20.0	21.88	23.33	22.22	25.0	22.73	21.05	18.75	7.14	0.0	0.0	0.0	-1.0
TFm_PYPL_pos_good9_mult_dense2	88.46	0.26	15.0	24.3	13.0	266.0	0.4155	0.2744	0.0	0.1778	0.4213	0.5199	0.5999	0.6252	0.6772	0.7373	0.7506	0.7608	0.79	0.8046	0.8074	0.8133	0.8199	0.8229	0.8283	0.8409	0.8648	0.8864	0.8967	0.9085
TFm_PYPL_pos_good9_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.53	9.77	10.28	10.0	11.94	15.09	20.0	21.05	22.86	21.88	23.33	22.22	25.0	27.27	26.32	31.25	35.71	27.27	25.0	33.33	-1.0
TFm_PYPL_pos_good9_mult_lstm	94.79	0.16	13.0	29.2	13.0	266.0	0.2279	0.2681	0.0	0.0445	0.1115	0.1591	0.2126	0.2838	0.4323	0.6081	0.643	0.6642	0.6809	0.7157	0.7183	0.7229	0.7376	0.7449	0.754	0.7916	0.8757	0.8989	0.9343	0.9971
TFm_PYPL_pos_good9_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	8.27	10.38	13.75	16.42	18.87	22.5	23.68	25.71	25.0	26.67	25.93	29.17	31.82	36.84	31.25	35.71	45.45	50.0	50.0	-1.0
TFm_PYPL_pos_good9__mult_gru	94.2	0.17	14.0	21.7	13.0	266.0	0.554	0.3358	0.0072	0.2838	0.6215	0.7226	0.8381	0.865	0.917	0.9395	0.9421	0.945	0.9484	0.9519	0.9552	0.9569	0.9595	0.962	0.9643	0.9658	0.9702	0.9744	0.9805	0.9884
TFm_PYPL_pos_good9__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	7.52	8.41	10.0	11.94	12.96	17.5	18.42	20.0	21.88	20.0	18.52	20.83	22.73	26.32	25.0	21.43	18.18	22.22	16.67	-1.0
TFm_PYPL_pos_reg4_mult_28	90.78	0.26	13.0	21.2	10.0	266.0	0.4162	0.1708	0.0547	0.3086	0.3816	0.4121	0.4599	0.4769	0.5136	0.5709	0.5862	0.5918	0.6062	0.6086	0.6246	0.636	0.6653	0.6841	0.7235	0.765	0.8469	0.9054	0.9452	0.9877
TFm_PYPL_pos_reg4_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.02	6.02	7.55	10.0	11.94	11.11	15.0	15.79	17.14	18.75	20.0	18.52	20.83	22.73	26.32	31.25	35.71	36.36	37.5	33.33	-1.0
TFm_PYPL_pos_reg4_mult_64	91.3	0.24	9.0	24.1	10.0	266.0	0.3533	0.1669	0.1168	0.2394	0.2948	0.3247	0.4045	0.4372	0.4679	0.5079	0.5216	0.5252	0.5331	0.5479	0.5497	0.5528	0.5706	0.5824	0.6135	0.721	0.7941	0.8408	0.8991	0.9621
TFm_PYPL_pos_reg4_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.03	6.77	8.49	8.75	10.45	12.96	15.0	15.79	17.14	18.75	20.0	22.22	25.0	27.27	31.58	31.25	35.71	36.36	25.0	33.33	-1.0
TFm_PYPL_pos_reg4_mult_128	92.69	0.2	9.0	21.8	10.0	266.0	0.3785	0.1776	0.1237	0.2574	0.3343	0.3716	0.4375	0.4618	0.491	0.5392	0.5494	0.558	0.5678	0.5865	0.6007	0.6134	0.6354	0.6482	0.7055	0.7353	0.8084	0.8765	0.9534	0.9863
TFm_PYPL_pos_reg4_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.52	6.77	8.49	10.0	10.45	11.32	15.0	15.79	17.14	18.75	20.0	22.22	20.83	22.73	26.32	31.25	35.71	45.45	37.5	33.33	-1.0
TFm_PYPL_pos_reg4_mult_conv	95.52	0.15	10.0	21.8	10.0	266.0	0.3507	0.1874	0.1518	0.2299	0.2756	0.3067	0.3852	0.4264	0.4686	0.5407	0.5476	0.5572	0.5725	0.5872	0.6007	0.6218	0.638	0.6694	0.7059	0.7703	0.8348	0.879	0.9637	0.9862
TFm_PYPL_pos_reg4_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.03	6.02	7.55	10.0	11.94	14.81	17.5	18.42	17.14	18.75	20.0	22.22	20.83	22.73	26.32	31.25	35.71	36.36	37.5	33.33	-1.0
TFm_PYPL_pos_reg4__simp_cordo	83.79	0.42	17.0	20.1	10.0	266.0	0.3654	0.2472	0.2386	0.2394	0.2404	0.2413	0.2543	0.2893	0.3704	0.8627	0.8835	0.8988	0.9057	0.9093	0.9132	0.9161	0.9201	0.9238	0.9256	0.9272	0.9282	0.9287	0.9298	0.9329
TFm_PYPL_pos_reg4__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.81	6.02	7.48	8.75	10.45	11.11	12.5	13.16	14.29	15.62	16.67	18.52	20.83	22.73	26.32	31.25	35.71	41.67	37.5	33.33	-1.0
TFm_PYPL_pos_reg4_mult_linear	82.87	0.43	16.0	11.2	10.0	266.0	0.7964	0.1613	0.2	0.7566	0.8385	0.8672	0.8876	0.9083	0.9217	0.9297	0.9335	0.9344	0.9357	0.9387	0.9399	0.9414	0.9449	0.9521	0.9622	0.9644	0.9689	0.9763	0.9818	0.9887
TFm_PYPL_pos_reg4_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.02	6.02	7.55	10.0	11.94	12.96	12.5	10.53	8.57	9.38	10.0	11.11	12.5	13.64	10.53	6.25	7.14	9.09	12.5	0.0	-1.0
TFm_PYPL_pos_reg4_mult_dense2	93.48	0.18	30.0	20.3	10.0	266.0	0.6095	0.3876	0.0	0.1994	0.7951	0.8988	0.939	0.9621	0.9692	0.9771	0.9784	0.9789	0.9802	0.9811	0.9821	0.9838	0.9869	0.9889	0.9917	0.9932	0.9957	0.9975	0.9991	1.0
TFm_PYPL_pos_reg4_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.02	4.51	5.61	7.5	8.96	11.32	15.0	15.79	17.14	18.75	20.69	22.22	20.83	18.18	21.05	23.53	30.77	36.36	50.0	66.67	-1.0
TFm_PYPL_pos_reg4_mult_lstm	90.51	0.21	8.0	20.1	10.0	266.0	0.4687	0.1118	0.3719	0.4013	0.4154	0.4264	0.4807	0.528	0.5443	0.5804	0.5852	0.5912	0.5967	0.6148	0.6217	0.634	0.6378	0.6458	0.6522	0.6635	0.668	0.727	0.89	0.9758
TFm_PYPL_pos_reg4_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.03	7.52	8.49	10.0	10.45	12.96	15.0	15.79	14.29	15.62	16.67	18.52	20.83	22.73	26.32	31.25	28.57	36.36	37.5	33.33	-1.0
TFm_PYPL_pos_reg4__mult_gru	91.24	0.21	10.0	24.0	10.0	266.0	0.4245	0.1549	0.1239	0.3756	0.4327	0.4387	0.4458	0.4495	0.4544	0.4593	0.4614	0.4637	0.4659	0.4676	0.4695	0.4728	0.5398	0.6701	0.7208	0.8326	0.8898	0.9033	0.9305	0.9647
TFm_PYPL_pos_reg4__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.02	5.97	7.48	8.86	10.45	12.96	15.0	16.22	17.14	18.75	19.35	22.22	25.0	27.27	31.58	37.5	42.86	45.45	37.5	16.67	-1.0
TFm_PYPL_pos_low1_mult_28	92.12	0.2	9.0	22.5	12.0	266.0	0.3425	0.2105	0.0823	0.1792	0.2557	0.3212	0.428	0.4797	0.5506	0.584	0.5901	0.605	0.6239	0.6402	0.6523	0.6665	0.6829	0.7208	0.7705	0.8315	0.8371	0.8449	0.8645	0.9058
TFm_PYPL_pos_low1_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.5	8.27	10.28	8.75	10.45	13.21	17.5	18.42	17.14	18.75	20.0	22.22	25.0	22.73	26.32	31.25	35.71	40.0	50.0	50.0	-1.0
TFm_PYPL_pos_low1_mult_64	94.68	0.15	8.0	21.8	12.0	266.0	0.374	0.2202	0.1323	0.1998	0.2572	0.3624	0.4919	0.5487	0.6166	0.6599	0.6693	0.6807	0.6882	0.692	0.7127	0.7164	0.7381	0.745	0.7536	0.8224	0.8488	0.8683	0.8821	0.9285
TFm_PYPL_pos_low1_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	8.27	8.49	11.25	10.45	11.32	15.0	15.79	17.14	18.75	20.0	22.22	20.83	22.73	26.32	31.25	28.57	36.36	50.0	33.33	-1.0
TFm_PYPL_pos_low1_mult_128	97.24	0.08	8.0	23.3	12.0	266.0	0.3653	0.2119	0.1274	0.2076	0.2742	0.3465	0.4278	0.4924	0.5479	0.618	0.6334	0.6366	0.6471	0.6623	0.6713	0.688	0.7026	0.7189	0.7346	0.8443	0.9118	0.9313	0.9468	0.9636
TFm_PYPL_pos_low1_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.0	8.27	9.43	12.5	11.94	15.09	17.5	15.79	17.14	18.75	20.0	22.22	25.0	27.27	26.32	31.25	28.57	36.36	37.5	42.86	-1.0
TFm_PYPL_pos_low1_mult_conv2	88.76	0.29	10.0	20.6	12.0	266.0	0.4441	0.2378	0.14	0.2393	0.3601	0.4575	0.6011	0.6525	0.6909	0.7307	0.7361	0.7421	0.7452	0.7488	0.7513	0.758	0.7969	0.8226	0.8991	0.9404	0.9502	0.9596	0.9655	0.9829
TFm_PYPL_pos_low1_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	7.52	9.35	10.0	11.94	13.21	15.0	15.79	17.14	18.75	16.67	18.52	20.83	22.73	26.32	31.25	35.71	36.36	37.5	33.33	-1.0
TFm_PYPL_pos_low1_mult_conv	99.47	0.03	13.0	19.4	12.0	266.0	0.3226	0.2542	0.0101	0.1339	0.2428	0.298	0.3772	0.4275	0.4982	0.645	0.6712	0.6976	0.722	0.7343	0.7442	0.7855	0.8119	0.8328	0.8503	0.8877	0.9124	0.9302	0.9484	0.9904
TFm_PYPL_pos_low1_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	7.52	9.35	12.5	14.93	18.87	22.5	23.68	22.86	21.88	20.0	18.52	16.67	18.18	21.05	18.75	21.43	27.27	25.0	16.67	-1.0
TFm_PYPL_pos_low1__simp_cordo	92.05	0.19	15.0	25.0	12.0	266.0	0.2777	0.3232	0.0038	0.0115	0.0697	0.221	0.5015	0.5717	0.7222	0.7536	0.7556	0.7577	0.7648	0.7668	0.7725	0.7802	0.7934	0.7977	0.8241	0.843	0.8603	0.8694	0.9124	0.9692
TFm_PYPL_pos_low1__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	8.27	8.41	11.25	13.43	14.81	17.5	18.42	20.0	21.88	23.33	25.93	25.0	27.27	26.32	31.25	28.57	27.27	25.0	33.33	-1.0
TFm_PYPL_pos_low1_mult_linear	85.09	0.32	9.0	21.8	12.0	266.0	0.4115	0.1923	0.1492	0.2724	0.3305	0.3895	0.5084	0.5615	0.6032	0.6371	0.6423	0.6487	0.6578	0.6613	0.666	0.6766	0.698	0.7165	0.7861	0.8429	0.8649	0.8756	0.885	0.9312
TFm_PYPL_pos_low1_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.53	7.52	9.43	10.0	11.94	11.11	15.0	15.79	17.14	18.75	20.0	22.22	20.83	22.73	26.32	31.25	28.57	36.36	37.5	50.0	-1.0
TFm_PYPL_pos_low1_mult_dense2	95.07	0.16	20.0	17.3	12.0	266.0	0.7791	0.3132	0.0	0.7212	0.9433	0.962	0.9776	0.9827	0.9872	0.9912	0.9917	0.9926	0.993	0.9933	0.9942	0.9952	0.9954	0.9956	0.9962	0.9971	0.9975	0.9984	0.9989	0.9998
TFm_PYPL_pos_low1_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	9.02	10.38	12.5	13.43	16.98	20.0	21.62	20.0	22.58	20.69	18.52	12.5	14.29	15.0	17.65	21.43	27.27	37.5	50.0	-1.0
TFm_PYPL_pos_low1_mult_lstm	97.11	0.09	11.0	31.5	12.0	266.0	0.426	0.3595	0.0006	0.0463	0.3774	0.5493	0.7226	0.8029	0.8519	0.8886	0.8953	0.898	0.906	0.9183	0.9298	0.942	0.9489	0.9644	0.9756	0.9807	0.9871	0.9906	0.9914	0.9993
TFm_PYPL_pos_low1_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	9.02	11.32	13.75	14.93	18.52	22.5	23.68	25.71	28.12	30.0	33.33	29.17	31.82	36.84	37.5	42.86	45.45	62.5	60.0	-1.0
TFm_PYPL_pos_low1__mult_gru	96.78	0.1	14.0	33.7	12.0	266.0	0.4057	0.3699	0.0049	0.0639	0.2292	0.4602	0.7223	0.8131	0.8671	0.9137	0.9227	0.9329	0.9381	0.9454	0.953	0.96	0.967	0.9733	0.977	0.9801	0.9824	0.9862	0.9884	0.9956
TFm_PYPL_pos_low1__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.03	8.27	10.28	12.5	14.93	16.98	22.5	23.68	25.71	28.12	30.0	33.33	37.5	36.36	36.84	43.75	42.86	45.45	50.0	66.67	-1.0
